Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761961069,294019.59,2.940210E+06,294019.59,26199.87,2.620000E+05,26199.87
1761961079,279409.99,5.734310E+06,286714.80,24900.00,5.110000E+05,25549.94
1761961089,269343.00,8.427740E+06,280924.21,24000.00,7.510000E+05,25033.29
1761961099,310865.01,1.153639E+07,288409.40,27700.00,1.028000E+06,25699.97
1761961109,305234.97,1.458874E+07,291774.51,27200.00,1.300000E+06,25999.97
1761961119,303000.02,1.761874E+07,293645.43,27000.00,1.570000E+06,26166.65
1761961129,314220.03,2.076094E+07,296584.65,28000.00,1.850000E+06,26428.55
1761961139,309744.97,2.385839E+07,298229.69,27600.00,2.126000E+06,26574.98
1761961149,259219.01,2.645058E+07,293895.18,23100.00,2.357000E+06,26188.87
1761961159,269336.01,2.914394E+07,291439.26,24000.00,2.597000E+06,25969.99
1761961169,259244.99,3.173639E+07,288512.51,23100.00,2.828000E+06,25709.08
1761961179,292900.00,3.466539E+07,288878.13,26100.00,3.089000E+06,25741.66
1761961189,320960.85,3.787500E+07,291346.03,28599.99,3.375000E+06,25961.53
1761961199,308594.13,4.096094E+07,292578.04,27500.01,3.650000E+06,26071.42
1761961209,277206.00,4.373300E+07,291553.24,24700.00,3.897000E+06,25979.99
1761961219,270431.01,4.643731E+07,290233.10,24100.00,4.138000E+06,25862.49
1761961229,267107.89,4.910839E+07,288872.79,23799.99,4.376000E+06,25741.17
1761961239,305238.12,5.216077E+07,289781.98,27200.01,4.648000E+06,25822.22
1761961249,322079.97,5.538157E+07,291481.87,28700.00,4.935000E+06,25973.68
