Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761965127,304116.83,3.041180E+06,304116.83,27099.90,2.710000E+05,27099.90
1761965137,322082.07,6.262000E+06,313099.43,28700.01,5.580000E+05,27899.95
1761965147,289513.00,9.157130E+06,305237.30,25800.00,8.160000E+05,27199.97
1761965157,267105.01,1.182818E+07,295704.24,23800.00,1.054000E+06,26349.98
1761965167,251381.98,1.434200E+07,286839.79,22400.00,1.278000E+06,25559.98
1761965177,303000.00,1.737200E+07,289533.16,27000.00,1.548000E+06,25799.98
1761965187,300731.00,2.037931E+07,291132.85,26800.00,1.816000E+06,25942.84
1761965197,313100.02,2.351031E+07,293878.74,27900.00,2.095000E+06,26187.49
1761965207,320972.99,2.672004E+07,296889.21,28600.00,2.381000E+06,26455.54
1761965217,300753.01,2.972757E+07,297275.59,26800.00,2.649000E+06,26489.99
1761965227,269322.00,3.242079E+07,294734.36,24000.00,2.889000E+06,26263.63
1761965237,277197.99,3.519277E+07,293272.99,24700.00,3.136000E+06,26133.33
1761965247,272697.00,3.791974E+07,291690.23,24300.00,3.379000E+06,25992.30
1761965257,297384.00,4.089358E+07,292096.92,26500.00,3.644000E+06,26028.56
1761965267,340035.99,4.429394E+07,295292.86,30300.00,3.947000E+06,26313.33
1761965277,316479.01,4.745873E+07,296617.00,28200.00,4.229000E+06,26431.24
