Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761705662,405119.41,4.051210E+06,405119.41,36099.86,3.610000E+05,36099.86
1761705672,404000.04,8.091210E+06,404559.72,36000.00,7.210000E+05,36049.93
1761705682,408472.98,1.217594E+07,405864.14,36400.00,1.085000E+06,36166.62
1761705692,350145.00,1.567739E+07,391934.37,31200.00,1.397000E+06,34924.97
1761705702,326554.54,1.894294E+07,378858.40,29099.96,1.688000E+06,33759.96
1761705712,402880.55,2.297174E+07,382862.08,35900.05,2.047000E+06,34116.64
1761705722,395020.00,2.692194E+07,384598.93,35200.00,2.399000E+06,34271.41
1761705732,411863.00,3.104057E+07,388006.93,36700.00,2.766000E+06,34574.98
1761705742,430943.03,3.535000E+07,392777.61,38400.00,3.150000E+06,34999.98
1761705752,409596.00,3.944596E+07,394459.45,36500.00,3.515000E+06,35149.99
1761705762,401761.00,4.346357E+07,395123.22,35800.00,3.873000E+06,35209.08
1761705772,366956.01,4.713313E+07,392775.96,32700.00,4.200000E+06,34999.99
1761705782,359125.99,5.072439E+07,390187.50,32000.00,4.520000E+06,34769.22
1761705792,391661.01,5.464100E+07,390292.75,34900.00,4.869000E+06,34778.56
1761705802,423058.00,5.887158E+07,392477.10,37700.00,5.246000E+06,34973.32
