Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761708671,363598.38,3.636000E+06,363598.38,32399.86,3.240000E+05,32399.86
1761708681,423057.98,7.866580E+06,393328.11,37700.00,7.010000E+05,35049.92
1761708691,347899.01,1.134557E+07,378185.10,31000.00,1.011000E+06,33699.95
1761708701,408473.80,1.543031E+07,385757.27,36399.98,1.375000E+06,34374.96
1761708711,414107.94,1.957139E+07,391427.40,36899.99,1.744000E+06,34879.96
1761708721,407382.27,2.364521E+07,394086.54,36300.02,2.107000E+06,35116.64
1761708731,407352.98,2.771874E+07,395981.75,36300.00,2.470000E+06,35285.69
1761708741,414102.01,3.185976E+07,398246.78,36900.00,2.839000E+06,35487.48
1761708751,353497.98,3.539474E+07,393274.69,31500.00,3.154000E+06,35044.43
1761708761,362483.01,3.901957E+07,390195.53,32300.00,3.477000E+06,34769.98
1761708771,364717.00,4.266674E+07,387879.30,32500.00,3.802000E+06,34563.62
1761708781,410747.01,4.677421E+07,389784.94,36600.00,4.168000E+06,34733.32
1761708791,427553.00,5.104974E+07,392690.17,38100.00,4.549000E+06,34992.30
1761708801,428684.00,5.533658E+07,395261.16,38200.00,4.931000E+06,35221.42
1761708811,356881.00,5.890539E+07,392702.48,31800.00,5.249000E+06,34993.32
1761708821,355734.99,6.246274E+07,390392.02,31700.00,5.566000E+06,34787.49
1761708831,368081.32,6.614358E+07,389079.61,32799.76,5.894000E+06,34670.56
1761708841,406262.98,7.020618E+07,390034.24,36200.27,6.256000E+06,34755.55
1761708851,426438.99,7.447057E+07,391950.28,38000.00,6.636000E+06,34926.31
1761708861,427556.00,7.874613E+07,393730.56,38100.00,7.017000E+06,35084.99
1761708871,378208.01,8.252821E+07,392991.39,33700.00,7.354000E+06,35019.04
1761708881,366952.98,8.619774E+07,391807.83,32700.00,7.681000E+06,34913.63
1761708891,362483.00,8.982257E+07,390532.84,32300.00,8.004000E+06,34799.99
1761708901,410742.80,9.393000E+07,391374.92,36599.98,8.370000E+06,34874.99
1761708911,417457.19,9.810457E+07,392418.21,37200.02,8.742000E+06,34967.99
1761708921,432064.03,1.024252E+08,393943.05,38500.00,9.127000E+06,35103.84
1761708931,371436.99,1.061396E+08,393109.49,33100.00,9.458000E+06,35029.62
1761708941,356880.81,1.097084E+08,391815.61,31799.98,9.776000E+06,34914.28
1761708951,362482.20,1.133332E+08,390804.11,32300.02,1.009900E+07,34824.13
1761708961,402878.98,1.173620E+08,391206.61,35900.00,1.045800E+07,34859.99
1761708971,410712.97,1.214691E+08,391835.85,36600.00,1.082400E+07,34916.12
1761708981,407386.95,1.255430E+08,392321.82,36300.00,1.118700E+07,34959.37
1761708991,375939.07,1.293024E+08,391825.37,33500.01,1.152200E+07,34915.15
1761709001,352382.00,1.328262E+08,390665.27,31400.00,1.183600E+07,34811.76
1761709011,364718.00,1.364734E+08,389923.92,32500.00,1.216100E+07,34745.71
1761709021,416334.80,1.406367E+08,390657.56,37099.98,1.253200E+07,34811.11
1761709031,426438.93,1.449011E+08,391624.62,37999.99,1.291200E+07,34897.29
1761709041,420844.27,1.491096E+08,392393.56,37500.02,1.328700E+07,34965.79
1761709051,372582.00,1.528354E+08,391885.57,33200.00,1.361900E+07,34920.51
1761709061,372581.99,1.565612E+08,391402.98,33200.00,1.395100E+07,34877.50
1761709071,363596.84,1.601972E+08,390724.78,32399.99,1.427500E+07,34817.07
1761709081,359095.15,1.637881E+08,389971.70,32000.01,1.459500E+07,34750.00
1761709091,405118.03,1.678393E+08,390323.94,36100.00,1.495600E+07,34781.39
1761709101,419725.98,1.720366E+08,390992.16,37400.00,1.533000E+07,34840.91
1761709111,363601.99,1.756726E+08,390383.49,32400.00,1.565400E+07,34786.66
1761709121,362480.02,1.792974E+08,389776.90,32300.00,1.597700E+07,34732.61
1761709131,374817.97,1.830456E+08,389458.62,33400.00,1.631100E+07,34704.25
1761709141,352382.03,1.865694E+08,388686.19,31400.00,1.662500E+07,34635.41
1761709151,416334.98,1.907327E+08,389250.45,37100.00,1.699600E+07,34685.71
1761709161,421964.78,1.949524E+08,389904.74,37599.98,1.737200E+07,34744.00
1761709171,373699.97,1.986894E+08,389587.00,33300.00,1.770500E+07,34715.68
1761709181,378174.22,2.024711E+08,389367.52,33700.02,1.804200E+07,34696.15
1761709191,428707.40,2.067582E+08,390109.79,38199.95,1.842400E+07,34762.26
1761709201,417453.38,2.109327E+08,390616.15,37200.03,1.879600E+07,34807.40
1761709211,406239.21,2.149951E+08,390900.20,36200.02,1.915800E+07,34832.72
1761709221,418608.00,2.191812E+08,391394.99,37300.00,1.953100E+07,34876.78
1761709231,369192.00,2.228731E+08,391005.46,32900.00,1.986000E+07,34842.10
1761709241,359126.00,2.264644E+08,390455.81,32000.00,2.018000E+07,34793.10
1761709251,372581.99,2.301902E+08,390152.87,33200.00,2.051200E+07,34766.10
1761709261,353496.02,2.337252E+08,389541.92,31500.00,2.082700E+07,34711.66
1761709271,408476.98,2.378099E+08,389852.33,36400.00,2.119100E+07,34739.34
1761709281,425319.01,2.420631E+08,390424.38,37900.00,2.157000E+07,34790.32
1761709291,378205.20,2.458452E+08,390230.42,33699.75,2.190700E+07,34773.01
1761709301,379294.78,2.496381E+08,390059.55,33800.25,2.224500E+07,34757.81
1761709311,429826.01,2.539364E+08,390671.34,38300.00,2.262800E+07,34812.31
1761709321,405118.03,2.579876E+08,390890.23,36100.00,2.298900E+07,34831.82
1761709331,411863.97,2.621062E+08,391203.27,36700.00,2.335600E+07,34859.70
1761709341,414099.97,2.662472E+08,391539.99,36900.00,2.372500E+07,34889.70
1761709351,359092.05,2.698381E+08,391069.73,32000.00,2.404500E+07,34847.82
1761709361,373700.01,2.735751E+08,390821.59,33300.00,2.437800E+07,34825.71
1761709371,355745.01,2.771326E+08,390327.55,31700.00,2.469500E+07,34781.69
1761709381,378198.96,2.809146E+08,390159.10,33700.00,2.503200E+07,34766.66
1761709391,377056.02,2.846851E+08,389979.61,33600.00,2.536800E+07,34750.68
1761709401,429825.76,2.889834E+08,390518.07,38299.98,2.575100E+07,34798.65
1761709411,392782.22,2.929112E+08,390548.26,35000.02,2.610100E+07,34801.33
1761709421,423079.01,2.971420E+08,390976.29,37700.00,2.647800E+07,34839.47
