Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761710184,373692.68,3.737000E+06,373692.68,33299.35,3.330000E+05,33299.35
1761710194,363579.00,7.372790E+06,368635.89,32400.00,6.570000E+05,32849.68
1761710204,363621.00,1.100900E+07,366964.27,32400.00,9.810000E+05,32699.79
1761710214,387157.01,1.488057E+07,372012.43,34500.00,1.326000E+06,33149.84
1761710224,401763.99,1.889821E+07,377962.72,35800.00,1.684000E+06,33679.87
1761710234,390510.01,2.280331E+07,380053.93,34800.00,2.032000E+06,33866.56
1761710244,391663.01,2.671994E+07,381712.36,34900.00,2.381000E+06,34014.19
1761710254,396136.99,3.068131E+07,383515.44,35300.00,2.734000E+06,34174.92
1761710264,365868.94,3.434000E+07,381554.72,32599.99,3.060000E+06,33999.93
1761710274,345639.06,3.779639E+07,377963.16,30800.01,3.368000E+06,33679.93
1761710284,350119.01,4.129758E+07,375431.88,31200.00,3.680000E+06,33454.49
1761710294,392772.98,4.522531E+07,376876.97,35000.00,4.030000E+06,33583.28
1761710304,401762.97,4.924294E+07,378791.27,35800.00,4.388000E+06,33753.80
1761710314,411863.03,5.336157E+07,381153.54,36700.00,4.755000E+06,33964.24
1761710324,379301.01,5.715458E+07,381030.04,33800.00,5.093000E+06,33953.29
1761710334,341155.00,6.056613E+07,378537.85,30400.00,5.397000E+06,33731.21
1761710344,360243.99,6.416857E+07,377461.74,32100.00,5.718000E+06,33635.26
1761710354,397256.01,6.814113E+07,378561.42,35400.00,6.072000E+06,33733.30
1761710364,395018.00,7.209131E+07,379427.56,35200.00,6.424000E+06,33810.49
1761710374,408508.01,7.617639E+07,380881.58,36400.00,6.788000E+06,33939.97
1761710384,390518.96,8.008158E+07,381340.50,34800.00,7.136000E+06,33980.92
1761710394,352373.02,8.360531E+07,380023.80,31400.00,7.450000E+06,33863.61
1761710404,353499.99,8.714031E+07,378870.59,31500.00,7.765000E+06,33760.84
1761710414,399526.00,9.113557E+07,379731.23,35600.00,8.121000E+06,33837.47
1761710424,406237.01,9.519794E+07,380791.46,36200.00,8.483000E+06,33931.97
1761710434,397263.99,9.917058E+07,381425.02,35400.00,8.837000E+06,33988.44
1761710444,389416.01,1.030647E+08,381720.98,34700.00,9.184000E+06,34014.79
1761710454,354619.99,1.066109E+08,380753.09,31600.00,9.500000E+06,33928.55
1761710464,346764.01,1.100786E+08,379581.05,30900.00,9.809000E+06,33824.12
1761710474,372573.00,1.138043E+08,379347.45,33200.00,1.014100E+07,33803.31
1761710484,402882.02,1.178331E+08,380106.63,35900.00,1.050000E+07,33870.95
1761710494,408507.99,1.219182E+08,380994.17,36400.00,1.086400E+07,33949.98
1761710504,382678.87,1.257450E+08,381045.22,34099.99,1.120500E+07,33954.52
1761710514,357974.14,1.293247E+08,380366.66,31900.01,1.152400E+07,33894.10
