Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761711760,387151.49,3.871570E+06,387151.49,34499.51,3.450000E+05,34499.51
1761711770,405116.97,7.922740E+06,396134.17,36100.00,7.060000E+05,35299.75
1761711780,357984.00,1.150258E+07,383417.51,31900.00,1.025000E+06,34166.50
1761711790,362482.01,1.512740E+07,378183.65,32300.00,1.348000E+06,33699.88
1761711800,388299.01,1.901039E+07,380206.72,34600.00,1.694000E+06,33879.90
1761711810,404000.00,2.305039E+07,384172.25,36000.00,2.054000E+06,34233.25
1761711820,417455.00,2.722494E+07,388926.92,37200.00,2.426000E+06,34657.07
1761711830,398406.00,3.120900E+07,390111.81,35500.00,2.781000E+06,34762.44
1761711840,411830.99,3.532731E+07,392525.04,36700.00,3.148000E+06,34977.72
1761711850,406269.02,3.939000E+07,393899.44,36200.00,3.510000E+06,35099.95
1761711860,372557.99,4.311558E+07,391959.31,33200.00,3.842000E+06,34927.23
1761711870,362472.99,4.674031E+07,389502.12,32300.00,4.165000E+06,34708.29
1761711880,369226.00,5.043257E+07,387942.42,32900.00,4.494000E+06,34569.19
1761711890,417455.99,5.460713E+07,390050.53,37200.00,4.866000E+06,34757.11
1761711900,423081.02,5.883794E+07,392252.56,37700.00,5.243000E+06,34953.30
1761711910,418606.01,6.302400E+07,393899.65,37300.00,5.616000E+06,35099.97
1761711920,365838.99,6.668239E+07,392249.02,32600.00,5.942000E+06,34952.91
1761711930,382657.99,7.050897E+07,391716.19,34100.00,6.283000E+06,34905.53
1761711940,383824.00,7.434721E+07,391300.81,34200.00,6.625000E+06,34868.39
1761711950,421937.00,7.856658E+07,392832.62,37600.00,7.001000E+06,35004.98
1761711960,415241.97,8.271900E+07,393899.73,37000.00,7.371000E+06,35099.98
1761711970,418574.05,8.690474E+07,395021.29,37300.00,7.744000E+06,35199.98
1761711980,375939.00,9.066413E+07,394191.63,33500.00,8.079000E+06,35126.07
1761711990,359126.01,9.425539E+07,392730.56,32000.00,8.399000E+06,34995.81
1761712000,368071.96,9.793611E+07,391744.22,32800.00,8.727000E+06,34907.98
1761712010,408510.04,1.020212E+08,392389.05,36400.00,9.091000E+06,34965.37
1761712020,401736.99,1.060386E+08,392735.27,35800.00,9.449000E+06,34996.28
1761712030,401754.99,1.100561E+08,393057.41,35800.00,9.807000E+06,35024.98
1761712040,389425.00,1.139504E+08,392932.15,34700.00,1.015400E+07,35013.78
1761712050,362483.00,1.175752E+08,391917.18,32300.00,1.047700E+07,34923.32
1761712060,365836.03,1.212336E+08,391075.85,32600.00,1.080300E+07,34848.37
1761712070,400618.99,1.252398E+08,391374.08,35700.00,1.116000E+07,34874.98
1761712080,408497.76,1.293247E+08,391892.98,36399.98,1.152400E+07,34921.20
1761712090,409626.01,1.334210E+08,392414.54,36500.00,1.188900E+07,34967.63
1761712100,387156.20,1.372926E+08,392264.30,34500.02,1.223400E+07,34954.27
1761712110,366956.99,1.409621E+08,391561.32,32700.00,1.256100E+07,34891.65
1761712120,405118.01,1.450133E+08,391927.71,36100.00,1.292200E+07,34924.31
1761712130,429825.99,1.493116E+08,392925.04,38300.00,1.330500E+07,35013.14
1761712140,417456.00,1.534861E+08,393554.04,37200.00,1.367700E+07,35069.22
1761712150,410744.02,1.575936E+08,393983.78,36600.00,1.404300E+07,35107.49
1761712160,369200.99,1.612856E+08,393379.33,32900.00,1.437200E+07,35053.65
1761712170,359119.01,1.648768E+08,392563.61,32000.00,1.469200E+07,34980.94
1761712180,368080.99,1.685576E+08,391994.24,32800.00,1.502000E+07,34930.22
1761712190,364721.01,1.722048E+08,391374.40,32500.00,1.534500E+07,34874.99
1761712200,356878.00,1.757736E+08,390607.81,31800.00,1.566300E+07,34806.66
1761712210,406237.00,1.798359E+08,390947.57,36200.00,1.602500E+07,34836.95
1761712220,365837.02,1.834943E+08,390413.31,32600.00,1.635100E+07,34789.35
1761712230,364726.99,1.871416E+08,389878.18,32500.00,1.667600E+07,34741.66
1761712240,417480.91,1.913164E+08,390441.50,37199.99,1.704800E+07,34791.83
1761712250,415217.82,1.954686E+08,390937.02,36999.98,1.741800E+07,34835.99
1761712260,400622.24,1.994748E+08,391126.93,35700.02,1.777500E+07,34852.93
1761712270,398395.01,2.034587E+08,391266.70,35500.00,1.813000E+07,34865.38
1761712280,363600.01,2.070947E+08,390744.69,32400.00,1.845400E+07,34818.86
1761712290,363601.99,2.107308E+08,390242.05,32400.00,1.877800E+07,34774.06
1761712300,369223.99,2.144230E+08,389859.90,32900.00,1.910700E+07,34739.99
1761712310,372558.02,2.181486E+08,389550.94,33200.00,1.943900E+07,34712.49
1761712320,369218.97,2.218408E+08,389194.24,32900.00,1.976800E+07,34680.69
1761712330,397254.02,2.258133E+08,389333.20,35400.00,2.012200E+07,34693.09
1761712340,384926.91,2.296626E+08,389258.51,34299.99,2.046500E+07,34686.43
1761712350,380435.89,2.334669E+08,389111.47,33899.99,2.080400E+07,34673.32
1761712360,405119.20,2.375181E+08,389373.89,36100.02,2.116500E+07,34696.71
1761712370,424200.00,2.417601E+08,389935.60,37800.00,2.154300E+07,34746.77
1761712380,414099.98,2.459011E+08,390319.17,36900.00,2.191200E+07,34780.94
1761712390,415218.04,2.500533E+08,390708.21,37000.00,2.228200E+07,34815.62
1761712400,380443.00,2.538577E+08,390550.28,33900.00,2.262100E+07,34801.53
1761712410,397256.99,2.578303E+08,390651.90,35400.00,2.297500E+07,34810.60
1761712420,381562.81,2.616459E+08,390516.24,33999.98,2.331500E+07,34798.50
1761712430,420845.21,2.658544E+08,390962.26,37500.02,2.369000E+07,34838.23
1761712440,411860.99,2.699730E+08,391265.14,36700.00,2.405700E+07,34865.21
1761712450,401740.00,2.739904E+08,391414.78,35800.00,2.441500E+07,34878.56
1761712460,375960.01,2.777500E+08,391197.10,33500.00,2.475000E+07,34859.15
1761712470,360212.99,2.813521E+08,390766.77,32100.00,2.507100E+07,34820.83
1761712480,359126.02,2.849434E+08,390333.33,32000.00,2.539100E+07,34782.18
1761712490,369192.00,2.886353E+08,390047.64,32900.00,2.572000E+07,34756.75
1761712500,366990.00,2.923052E+08,389740.21,32700.00,2.604700E+07,34729.33
1761712510,419691.81,2.965021E+08,390134.31,37399.98,2.642100E+07,34764.47
1761712520,398408.18,3.004862E+08,390241.76,35500.02,2.677600E+07,34774.02
1761712530,373696.79,3.042232E+08,390029.64,33299.98,2.710900E+07,34755.12
1761712540,411840.24,3.083416E+08,390305.73,36700.02,2.747600E+07,34779.74
1761712550,436563.00,3.127072E+08,390883.94,38900.00,2.786500E+07,34831.24
1761712560,418572.98,3.168929E+08,391225.78,37300.00,2.823800E+07,34861.72
1761712570,397264.01,3.208656E+08,391299.42,35400.00,2.859200E+07,34868.29
1761712580,382682.00,3.246924E+08,391195.60,34100.00,2.893300E+07,34859.03
1761712590,351254.01,3.282049E+08,390720.10,31300.00,2.924600E+07,34816.66
1761712600,353498.99,3.317399E+08,390282.21,31500.00,2.956100E+07,34777.64
1761712610,415219.97,3.358921E+08,390572.18,37000.00,2.993100E+07,34803.48
1761712620,411861.03,3.400107E+08,390816.88,36700.00,3.029800E+07,34825.28
1761712630,400646.98,3.440172E+08,390928.58,35700.00,3.065500E+07,34835.22
1761712640,373700.00,3.477542E+08,390735.00,33300.00,3.098800E+07,34817.97
1761712650,378173.02,3.515359E+08,390595.43,33700.00,3.132500E+07,34805.55
1761712660,359127.00,3.551272E+08,390249.62,32000.00,3.164500E+07,34774.72
1761712670,382678.81,3.589540E+08,390167.33,34099.98,3.198600E+07,34767.39
1761712680,402858.20,3.629826E+08,390303.79,35900.02,3.234500E+07,34779.56
1761712690,411854.96,3.671011E+08,390533.06,36700.00,3.271200E+07,34799.99
1761712700,390544.03,3.710066E+08,390533.17,34800.00,3.306000E+07,34799.99
1761712710,355737.00,3.745639E+08,390170.71,31700.00,3.337700E+07,34767.70
1761712720,372580.00,3.782897E+08,389989.37,33200.00,3.370900E+07,34751.54
1761712730,426439.01,3.825541E+08,390361.30,38000.00,3.408900E+07,34784.69
1761712740,400644.00,3.865606E+08,390465.17,35700.00,3.444600E+07,34793.93
1761712750,407355.99,3.906341E+08,390634.07,36300.00,3.480900E+07,34809.00
1761712760,406269.00,3.946968E+08,390788.88,36200.00,3.517100E+07,34822.77
1761712770,398374.98,3.986806E+08,390863.25,35500.00,3.552600E+07,34829.41
1761712780,411864.02,4.027992E+08,391067.14,36700.00,3.589300E+07,34847.57
1761712790,433179.00,4.071310E+08,391472.06,38600.00,3.627900E+07,34883.65
1761712800,412957.76,4.112606E+08,391676.69,36799.98,3.664700E+07,34901.90
1761712810,419716.10,4.154577E+08,391941.21,37400.01,3.702100E+07,34925.47
1761712820,368099.12,4.191387E+08,391718.39,32800.01,3.734900E+07,34905.60
1761712830,357984.00,4.227186E+08,391406.03,31900.00,3.766800E+07,34877.77
1761712840,364717.00,4.263657E+08,391161.18,32500.00,3.799300E+07,34855.96
1761712850,384919.98,4.302149E+08,391104.44,34300.00,3.833600E+07,34850.90
1761712860,363600.03,4.338509E+08,390856.65,32400.00,3.866000E+07,34828.82
1761712870,398405.99,4.378350E+08,390924.06,35500.00,3.901500E+07,34834.82
1761712880,375938.84,4.415944E+08,390791.44,33499.99,3.935000E+07,34823.00
1761712890,360234.16,4.451967E+08,390523.40,32100.01,3.967100E+07,34799.12
1761712900,388283.99,4.490796E+08,390503.93,34600.00,4.001700E+07,34797.39
1761712910,421961.01,4.532992E+08,390775.11,37600.00,4.039300E+07,34821.55
1761712920,412981.98,4.574290E+08,390964.91,36800.00,4.076100E+07,34838.46
1761712930,418574.00,4.616147E+08,391198.88,37300.00,4.113400E+07,34859.32
1761712940,366966.01,4.652844E+08,390995.25,32700.00,4.146100E+07,34841.17
1761712950,355739.01,4.688418E+08,390701.45,31700.00,4.177800E+07,34815.00
1761712960,373721.00,4.725790E+08,390561.11,33300.00,4.211100E+07,34802.48
1761712970,423057.97,4.768096E+08,390827.48,37700.00,4.248800E+07,34826.23
1761712980,425342.02,4.810630E+08,391108.08,37900.00,4.286700E+07,34851.22
1761712990,407357.01,4.851366E+08,391239.12,36300.00,4.323000E+07,34862.90
1761713000,397256.00,4.891091E+08,391287.26,35400.00,4.358400E+07,34867.20
1761713010,365844.98,4.927676E+08,391085.34,32600.00,4.391000E+07,34849.20
1761713020,368099.01,4.964486E+08,390904.34,32800.00,4.423800E+07,34833.07
1761713030,410743.01,5.005560E+08,391059.33,36600.00,4.460400E+07,34846.87
1761713040,407356.98,5.046296E+08,391185.67,36300.00,4.496700E+07,34858.14
1761713050,430942.80,5.089390E+08,391491.49,38399.98,4.535100E+07,34885.38
1761713060,379294.15,5.127319E+08,391398.38,33800.01,4.568900E+07,34877.10
1761713070,396146.02,5.166934E+08,391434.35,35300.00,4.604200E+07,34880.30
1761713080,397281.01,5.206662E+08,391478.31,35400.00,4.639600E+07,34884.21

Summary:
loaded 523584000 metrics in 1336.757sec with 8 workers (mean rate 391682.35 metrics/sec)
loaded 46656000 rows in 1336.757sec with 8 workers (mean rate 34902.39 rows/sec)
