Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761713288,399485.12,3.994930E+06,399485.12,35599.30,3.560000E+05,35599.30
1761713298,406237.97,8.057310E+06,402861.51,36200.00,7.180000E+05,35899.64
1761713308,399526.03,1.205257E+07,401749.69,35600.00,1.074000E+06,35799.76
1761713318,396137.98,1.601395E+07,400346.77,35300.00,1.427000E+06,35674.82
1761713328,355736.03,1.957131E+07,391424.66,31700.00,1.744000E+06,34879.86
1761713338,319842.99,2.276974E+07,379494.42,28500.00,2.029000E+06,33816.56
1761713348,398384.01,2.675358E+07,382192.92,35500.00,2.384000E+06,34057.05
1761713358,424200.00,3.099558E+07,387443.80,37800.00,2.762000E+06,34524.91
1761713368,420836.00,3.520394E+07,391154.03,37500.00,3.137000E+06,34855.48
1761713378,416336.96,3.936731E+07,393672.32,37100.00,3.508000E+06,35079.93
1761713388,429825.77,4.366557E+07,396958.99,38299.98,3.891000E+06,35372.66
1761713398,390537.24,4.757094E+07,396423.85,34800.02,4.239000E+06,35324.94
1761713408,364723.97,5.121821E+07,393985.38,32499.73,4.564000E+06,35107.62
1761713418,369195.06,5.491013E+07,392214.66,32900.27,4.893000E+06,34949.95
1761713428,378207.97,5.869221E+07,391280.88,33700.00,5.230000E+06,34866.62
1761713438,415215.08,6.284439E+07,392776.78,36999.74,5.600000E+06,34999.94
1761713448,426438.05,6.710874E+07,394756.84,38000.27,5.980000E+06,35176.43
1761713458,382682.99,7.093557E+07,394086.07,34100.00,6.321000E+06,35116.63
1761713468,364716.99,7.458274E+07,392540.33,32500.00,6.646000E+06,34978.91
1761713478,383800.00,7.842074E+07,392103.31,34200.00,6.988000E+06,34939.97
1761713488,383800.00,8.225874E+07,391707.92,34200.00,7.330000E+06,34904.73
1761713498,419725.97,8.645600E+07,392981.46,37400.00,7.704000E+06,35018.15
1761713508,417456.78,9.063057E+07,394045.61,37199.98,8.076000E+06,35113.01
1761713518,393900.23,9.456957E+07,394039.55,35100.02,8.427000E+06,35112.47
1761713528,368073.99,9.825031E+07,393000.93,32800.00,8.755000E+06,35019.97
1761713538,380443.03,1.020547E+08,392517.93,33900.00,9.094000E+06,34976.90
1761713548,364720.00,1.057019E+08,391488.38,32500.00,9.419000E+06,34885.16
1761713558,411862.32,1.098206E+08,392216.02,36699.94,9.786000E+06,34949.97
1761713568,426437.71,1.140849E+08,393396.08,38000.06,1.016600E+07,35055.15
1761713578,375936.98,1.178443E+08,392814.11,33500.00,1.050100E+07,35003.31
1761713588,353500.00,1.213793E+08,391545.91,31500.00,1.081600E+07,34890.30
1761713598,390543.02,1.252847E+08,391514.57,34800.00,1.116400E+07,34887.48
1761713608,400647.00,1.292912E+08,391791.31,35700.00,1.152100E+07,34912.10
1761713618,425317.97,1.335444E+08,392777.39,37900.00,1.190000E+07,34999.98
1761713628,438774.00,1.379321E+08,394091.58,39100.00,1.229100E+07,35117.12
1761713638,398407.83,1.419162E+08,394211.47,35499.99,1.264600E+07,35127.76
1761713648,361328.16,1.455295E+08,393322.74,32200.01,1.296800E+07,35048.63
1761713658,378207.99,1.493116E+08,392924.98,33700.00,1.330500E+07,35013.14
1761713668,371463.92,1.530262E+08,392374.70,33099.99,1.363600E+07,34964.08
1761713678,410710.09,1.571333E+08,392833.08,36600.01,1.400200E+07,35004.98
1761713688,435427.00,1.614876E+08,393871.96,38800.00,1.439000E+07,35097.54
1761713698,373693.81,1.652245E+08,393391.52,33299.98,1.472300E+07,35054.74
1761713708,387187.22,1.690964E+08,393247.24,34500.02,1.506800E+07,35041.84
1761713718,369191.98,1.727883E+08,392700.53,32900.00,1.539700E+07,34993.17
1761713728,358008.00,1.763684E+08,391929.58,31900.00,1.571600E+07,34924.43
1761713738,397254.99,1.803409E+08,392045.35,35400.00,1.607000E+07,34934.77
1761713748,420845.03,1.845494E+08,392658.11,37500.00,1.644500E+07,34989.35
1761713758,383800.00,1.883874E+08,392473.57,34200.00,1.678700E+07,34972.90
1761713768,371440.00,1.921018E+08,392044.31,33100.00,1.711800E+07,34934.68
1761713778,377077.99,1.958726E+08,391744.99,33600.00,1.745400E+07,34907.99
1761713788,418574.00,2.000583E+08,392271.04,37300.00,1.782700E+07,34954.89
1761713798,410742.99,2.041657E+08,392626.27,36600.00,1.819300E+07,34986.53
1761713808,428684.02,2.084526E+08,393306.61,38200.00,1.857500E+07,35047.16
1761713818,386062.98,2.123132E+08,393172.47,34400.00,1.891900E+07,35035.17
1761713828,362479.01,2.159380E+08,392614.40,32300.00,1.924200E+07,34985.44
1761713838,373700.00,2.196750E+08,392276.65,33300.00,1.957500E+07,34955.34
1761713848,360212.98,2.232771E+08,391714.13,32100.00,1.989600E+07,34905.25
1761713858,368108.02,2.269582E+08,391307.13,32800.00,2.022400E+07,34868.95
1761713868,416335.99,2.311216E+08,391731.34,37100.00,2.059500E+07,34906.77
1761713878,396136.01,2.350829E+08,391804.75,35300.00,2.094800E+07,34913.32
1761713888,360246.00,2.386854E+08,391287.40,32100.00,2.126900E+07,34867.20
1761713898,383799.97,2.425234E+08,391166.63,34200.00,2.161100E+07,34856.44
1761713908,419692.02,2.467203E+08,391619.42,37400.00,2.198500E+07,34896.81
1761713918,409625.99,2.508166E+08,391900.77,36500.00,2.235000E+07,34921.86
1761713928,417456.00,2.549911E+08,392293.93,37200.00,2.272200E+07,34956.91
1761713938,383799.01,2.588291E+08,392165.22,34200.00,2.306400E+07,34945.44
1761713948,346787.99,2.622970E+08,391487.94,30900.00,2.337300E+07,34885.06
1761713958,378173.81,2.660787E+08,391292.15,33699.98,2.371000E+07,34867.64
1761713968,389426.19,2.699730E+08,391265.11,34700.02,2.405700E+07,34865.21
1761713978,430912.99,2.742821E+08,391831.50,38400.00,2.444100E+07,34915.70
1761713988,425318.02,2.785353E+08,392303.14,37900.00,2.482000E+07,34957.74
1761713998,391663.00,2.824519E+08,392294.25,34900.00,2.516900E+07,34956.93
1761714008,370345.00,2.861554E+08,391993.58,33000.00,2.549900E+07,34930.13
1761714018,391661.00,2.900720E+08,391989.08,34900.00,2.584800E+07,34929.72
