Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761714812,402856.08,4.028580E+06,402856.08,35899.83,3.590000E+05,35899.83
1761714822,419716.03,8.225740E+06,411286.03,37400.00,7.330000E+05,36649.91
1761714832,410746.98,1.233321E+07,411106.35,36600.00,1.099000E+06,36633.28
1761714842,383772.03,1.617093E+07,404272.78,34200.00,1.441000E+06,36024.96
1761714852,355763.98,1.972857E+07,394571.03,31700.00,1.758000E+06,35159.97
1761714862,334417.03,2.307274E+07,384545.37,29800.00,2.056000E+06,34266.64
1761714872,389426.00,2.696700E+07,385242.60,34700.00,2.403000E+06,34328.55
1761714882,423057.98,3.119758E+07,389969.52,37700.00,2.780000E+06,34749.98
1761714892,423072.97,3.542831E+07,393647.68,37700.00,3.157000E+06,35077.76
1761714902,419726.04,3.962557E+07,396255.51,37400.00,3.531000E+06,35309.98
1761714912,421964.00,4.384521E+07,398592.65,37600.00,3.907000E+06,35518.17
1761714922,378172.98,4.762694E+07,396891.01,33700.00,4.244000E+06,35366.65
1761714932,366964.00,5.129658E+07,394588.93,32700.00,4.571000E+06,35161.53
1761714942,366981.03,5.496639E+07,392616.94,32700.00,4.898000E+06,34985.70
1761714952,381560.99,5.878200E+07,391879.88,34000.00,5.238000E+06,34919.99
1761714962,401731.01,6.279931E+07,392495.57,35800.00,5.596000E+06,34974.99
1761714972,432062.83,6.711994E+07,394823.06,38499.98,5.981000E+06,35182.34
1761714982,377064.15,7.089058E+07,393836.45,33600.01,6.317000E+06,35094.44
1761714992,361354.85,7.450413E+07,392126.89,32199.99,6.639000E+06,34942.10
1761715002,361361.14,7.811774E+07,390588.61,32200.01,6.961000E+06,34804.99
1761715012,386038.99,8.197813E+07,390371.96,34400.00,7.305000E+06,34785.71
1761715022,412981.00,8.610794E+07,391399.64,36800.00,7.673000E+06,34877.27
1761715032,412979.97,9.023774E+07,392337.92,36800.00,8.041000E+06,34960.86
1761715042,370347.04,9.394121E+07,391421.63,33000.00,8.371000E+06,34879.16
1761715052,368073.00,9.762194E+07,390487.69,32800.00,8.699000E+06,34795.99
1761715062,359127.00,1.012132E+08,389281.51,32000.00,9.019000E+06,34688.46
