Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761716327,399482.97,3.994940E+06,399482.97,35599.02,3.560000E+05,35599.02
1761716337,369226.98,7.687210E+06,384355.18,32900.00,6.850000E+05,34249.53
1761716347,387152.99,1.155874E+07,385287.78,34500.00,1.030000E+06,34333.02
1761716357,387166.02,1.543040E+07,385757.33,34500.00,1.375000E+06,34374.76
1761716367,399516.97,1.942557E+07,388509.25,35600.00,1.731000E+06,34619.81
1761716377,390543.03,2.333100E+07,388848.21,34800.00,2.079000E+06,34649.84
1761716387,393899.99,2.727000E+07,389569.89,35100.00,2.430000E+06,34714.15
1761716397,364720.82,3.091721E+07,386463.77,32499.98,2.755000E+06,34437.38
1761716407,356856.05,3.448577E+07,383174.03,31800.00,3.073000E+06,34144.34
1761716417,359123.12,3.807700E+07,380768.95,32000.01,3.393000E+06,33929.91
1761716427,372557.98,4.180258E+07,380022.50,33200.00,3.725000E+06,33863.55
1761716437,392773.03,4.573031E+07,381085.04,35000.00,4.075000E+06,33958.26
1761716447,418608.01,4.991639E+07,383971.41,37300.00,4.448000E+06,34215.31
1761716457,381539.98,5.373179E+07,383797.74,34000.00,4.788000E+06,34199.93
1761716467,352379.00,5.725558E+07,381703.16,31400.00,5.102000E+06,34013.27
1761716477,362472.87,6.088031E+07,380501.27,32299.99,5.425000E+06,33906.19
1761716487,387190.12,6.475221E+07,380894.73,34500.01,5.770000E+06,33941.12
1761716497,404000.03,6.879221E+07,382178.36,36000.00,6.130000E+06,34055.50
1761716507,399490.99,7.278712E+07,383089.55,35600.00,6.486000E+06,34136.79
1761716517,388308.99,7.667021E+07,383350.52,34600.00,6.832000E+06,34159.95
1761716527,353500.01,8.020521E+07,381929.07,31500.00,7.147000E+06,34033.29
1761716537,371436.99,8.391958E+07,381452.16,33100.00,7.478000E+06,33990.87
1761716547,369215.99,8.761174E+07,380920.15,32900.00,7.807000E+06,33943.44
1761716557,409605.03,9.170779E+07,382115.35,36500.00,8.172000E+06,34049.96
1761716567,406259.99,9.577039E+07,383081.14,36200.00,8.534000E+06,34135.96
1761716577,386034.97,9.963074E+07,383194.74,34400.00,8.878000E+06,34146.12
1761716587,362482.90,1.032556E+08,382427.64,32299.99,9.201000E+06,34077.74
1761716597,369201.14,1.069476E+08,381955.27,32900.01,9.530000E+06,34035.68
1761716607,354641.99,1.104940E+08,381013.43,31600.00,9.846000E+06,33951.69
1761716617,397257.01,1.144666E+08,381554.88,35400.00,1.020000E+07,33999.97
1761716627,406236.97,1.185289E+08,382351.08,36200.00,1.056200E+07,34070.94
1761716637,379327.03,1.223222E+08,382256.58,33800.00,1.090000E+07,34062.47
1761716647,351237.00,1.258346E+08,381316.59,31300.00,1.121300E+07,33978.76
1761716657,359115.98,1.294257E+08,380663.63,32000.00,1.153300E+07,33920.56
1761716667,396139.01,1.333871E+08,381105.78,35300.00,1.188600E+07,33959.97
1761716677,401761.01,1.374047E+08,381679.54,35800.00,1.224400E+07,34011.08
1761716687,398383.50,1.413886E+08,382131.00,35499.96,1.259900E+07,34051.32
1761716697,388298.44,1.452716E+08,382293.30,34600.04,1.294500E+07,34065.76
1761716707,359102.04,1.488626E+08,381698.65,32000.00,1.326500E+07,34012.80
1761716717,354641.99,1.524090E+08,381022.24,31600.00,1.358100E+07,33952.48
1761716727,370313.00,1.561121E+08,380761.04,33000.00,1.391100E+07,33929.25
1761716737,415241.00,1.602645E+08,381581.99,37000.00,1.428100E+07,34002.36
1761716747,416346.00,1.644280E+08,382390.45,37100.00,1.465200E+07,34074.40
1761716757,387157.01,1.682996E+08,382498.78,34500.00,1.499700E+07,34084.07
1761716767,357973.97,1.718793E+08,381953.79,31900.00,1.531600E+07,34035.53
1761716777,360243.02,1.754817E+08,381481.81,32100.00,1.563700E+07,33993.46
1761716787,350147.00,1.789832E+08,380815.12,31200.00,1.594900E+07,33934.02
1761716797,353500.01,1.825182E+08,380246.05,31500.00,1.626400E+07,33883.31
1761716807,408472.79,1.866029E+08,380822.11,36399.98,1.662800E+07,33934.67
1761716817,370345.11,1.903064E+08,380612.57,33000.01,1.695800E+07,33915.98
1761716827,365835.08,1.939647E+08,380322.81,32600.01,1.728400E+07,33890.18
1761716837,392782.99,1.978926E+08,380562.43,35000.00,1.763400E+07,33911.52
1761716847,390543.01,2.017980E+08,380750.74,34800.00,1.798200E+07,33928.28
1761716857,389393.99,2.056919E+08,380910.80,34700.00,1.832900E+07,33942.58
1761716867,409627.03,2.097882E+08,381432.92,36500.00,1.869400E+07,33989.07
1761716877,381536.79,2.136036E+08,381434.77,33999.98,1.903400E+07,33989.27
1761716887,351255.17,2.171161E+08,380905.31,31300.01,1.934700E+07,33942.09
1761716897,360243.84,2.207186E+08,380549.07,32099.99,1.966800E+07,33910.33
1761716907,374817.18,2.244667E+08,380451.92,33400.02,2.000200E+07,33901.68
1761716917,366965.00,2.281364E+08,380227.14,32700.00,2.032900E+07,33881.65
1761716927,384919.00,2.319856E+08,380304.06,34300.00,2.067200E+07,33888.51
1761716937,382672.99,2.358123E+08,380342.27,34100.00,2.101300E+07,33891.92
1761716947,391663.02,2.397289E+08,380521.96,34900.00,2.136200E+07,33907.92
1761716957,410744.98,2.438364E+08,380994.19,36600.00,2.172800E+07,33949.99
1761716967,401761.02,2.478540E+08,381313.68,35800.00,2.208600E+07,33978.45
1761716977,396138.97,2.518154E+08,381538.31,35300.00,2.243900E+07,33998.47
1761716987,401761.00,2.558330E+08,381840.14,35800.00,2.279700E+07,34025.36
1761716997,372557.85,2.595586E+08,381703.64,33199.99,2.312900E+07,34013.22
1761717007,371455.16,2.632731E+08,381555.11,33100.01,2.346000E+07,33999.99
1761717017,360244.01,2.668756E+08,381250.66,32100.00,2.378100E+07,33972.84
1761717027,368073.99,2.705563E+08,381065.08,32800.00,2.410900E+07,33956.32
1761717037,355768.99,2.741140E+08,380713.74,31700.00,2.442600E+07,33924.99
1761717047,382658.02,2.779406E+08,380740.38,34100.00,2.476700E+07,33927.38
1761717057,399515.98,2.819357E+08,380994.10,35600.00,2.512300E+07,33949.99
1761717067,382682.79,2.857626E+08,381016.62,34099.98,2.546400E+07,33951.99
1761717077,423082.24,2.899934E+08,381570.11,37700.02,2.584100E+07,34001.30
1761717087,400619.01,2.939996E+08,381817.50,35700.00,2.619800E+07,34023.36
1761717097,406263.00,2.980622E+08,382130.90,36200.00,2.656000E+07,34051.27
1761717107,400609.99,3.020683E+08,382364.82,35700.00,2.691700E+07,34072.14
1761717117,378207.99,3.058504E+08,382312.86,33700.00,2.725400E+07,34067.49
1761717127,362482.02,3.094752E+08,382068.03,32300.00,2.757700E+07,34045.67
1761717137,364717.78,3.131224E+08,381856.44,32499.98,2.790200E+07,34026.82
1761717147,375935.22,3.168817E+08,381785.10,33500.02,2.823700E+07,34020.47
1761717157,365839.01,3.205401E+08,381595.27,32600.00,2.856300E+07,34003.56
1761717167,366986.99,3.242100E+08,381423.41,32700.00,2.889000E+07,33988.22
1761717177,361331.00,3.278233E+08,381189.77,32200.00,2.921200E+07,33967.43
1761717187,371462.79,3.315379E+08,381077.97,33099.98,2.954300E+07,33957.46
1761717197,402880.21,3.355667E+08,381325.72,35900.02,2.990200E+07,33979.53
1761717207,388284.00,3.394496E+08,381403.90,34600.00,3.024800E+07,33986.51
1761717217,402873.00,3.434783E+08,381642.45,35900.00,3.060700E+07,34007.77
