Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761717867,414098.39,4.141000E+06,414098.39,36899.86,3.690000E+05,36899.86
1761717877,372558.02,7.866580E+06,393328.25,33200.00,7.010000E+05,35049.93
1761717887,396162.89,1.182821E+07,394273.13,35299.99,1.054000E+06,35133.29
1761717897,395017.89,1.577839E+07,394459.32,35199.99,1.406000E+06,35149.96
1761717907,411861.21,1.989700E+07,397939.69,36700.02,1.773000E+06,35459.97
1761717917,416338.99,2.406039E+07,401006.24,37100.00,2.144000E+06,35733.31
1761717927,405118.01,2.811157E+07,401593.63,36100.00,2.505000E+06,35785.69
1761717937,375937.00,3.187094E+07,398386.56,33500.00,2.840000E+06,35499.98
1761717947,368106.00,3.555200E+07,395022.05,32800.00,3.168000E+06,35199.98
1761717957,353499.99,3.908700E+07,390869.85,31500.00,3.483000E+06,34829.99
1761717967,390513.01,4.299213E+07,390837.41,34800.00,3.831000E+06,34827.26
1761717977,424199.99,4.723413E+07,393617.62,37800.00,4.209000E+06,35074.99
1761717987,438808.04,5.162221E+07,397093.81,39100.00,4.600000E+06,35384.60
1761717997,381536.98,5.543758E+07,395982.60,34000.00,4.940000E+06,35285.70
1761718007,362473.02,5.906231E+07,393748.63,32300.00,5.263000E+06,35086.66
1761718017,350142.98,6.256374E+07,391023.28,31200.00,5.575000E+06,34843.74
1761718027,383800.02,6.640174E+07,390598.38,34200.00,5.917000E+06,34805.87
1761718037,429804.98,7.069979E+07,392776.53,38300.00,6.300000E+06,34999.99
1761718047,416359.98,7.486339E+07,394017.76,37100.00,6.671000E+06,35110.52
1761718057,396135.03,7.882474E+07,394123.62,35300.00,7.024000E+06,35119.99
1761718067,374819.00,8.257293E+07,393204.36,33400.00,7.358000E+06,35038.09
