Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761720867,487031.64,4.870390E+06,487031.64,43399.34,4.340000E+05,43399.34
1761720877,464600.00,9.516390E+06,475815.91,41400.00,8.480000E+05,42399.68
1761720887,491518.66,1.443158E+07,481050.13,43799.97,1.286000E+06,42866.44
1761720897,480316.34,1.923474E+07,480866.69,42800.03,1.714000E+06,42849.84
1761720907,497139.00,2.420613E+07,484121.14,44300.00,2.157000E+06,43139.87
1761720917,506118.00,2.926731E+07,487787.27,45100.00,2.608000E+06,43466.56
1761720927,491542.99,3.418274E+07,488323.80,43800.00,3.046000E+06,43514.19
1761720937,520705.01,3.938979E+07,492371.45,46400.00,3.510000E+06,43874.92
1761720947,488178.00,4.427157E+07,491905.51,43500.00,3.945000E+06,43833.26
1761720957,455616.68,4.882774E+07,488276.63,40599.97,4.351000E+06,43509.93
1761720967,460126.32,5.342900E+07,485717.52,41000.03,4.761000E+06,43281.76
1761720977,504999.98,5.847900E+07,487324.39,45000.00,5.211000E+06,43424.95
1761720987,510594.00,6.358494E+07,489114.35,45500.00,5.666000E+06,43584.56
1761720997,510626.98,6.869121E+07,490650.97,45500.00,6.121000E+06,43721.38
1761721007,485918.01,7.355039E+07,490335.44,43300.00,6.554000E+06,43693.29
1761721017,457855.02,7.812894E+07,488305.41,40800.00,6.962000E+06,43512.46
1761721027,461245.00,8.274139E+07,486713.63,41100.00,7.373000E+06,43370.55
1761721037,503878.98,8.778018E+07,487667.26,44900.00,7.822000E+06,43455.52
1761721047,487038.02,9.265056E+07,487634.14,43400.00,8.256000E+06,43452.60
1761721057,511743.97,9.776800E+07,488839.63,45600.00,8.712000E+06,43559.97
1761721067,494878.99,1.027168E+08,489127.22,44100.00,9.153000E+06,43585.68
1761721077,456756.80,1.072844E+08,487655.84,40699.98,9.560000E+06,43454.51
1761721087,455621.23,1.118406E+08,486263.03,40600.02,9.966000E+06,43330.41
1761721097,487037.00,1.167109E+08,486295.28,43400.00,1.040000E+07,43333.31
1761721107,506118.99,1.217721E+08,487088.23,45100.00,1.085100E+07,43403.97
1761721117,515099.98,1.269231E+08,488165.60,45900.00,1.131000E+07,43499.97
1761721127,492661.03,1.318497E+08,488332.10,43900.00,1.174900E+07,43514.79
1761721137,475818.75,1.366079E+08,487885.19,42399.98,1.217300E+07,43474.98
1761721147,463481.24,1.412427E+08,487043.68,41300.02,1.258600E+07,43399.98
1761721157,497139.00,1.462141E+08,487380.19,44300.00,1.302900E+07,43429.98
1761721167,528587.01,1.515000E+08,488709.44,47100.00,1.350000E+07,43548.37
1761721177,496020.74,1.564602E+08,488937.92,44199.98,1.394200E+07,43568.73
1761721187,493779.24,1.613980E+08,489084.62,44000.02,1.438200E+07,43581.80
1761721197,451112.99,1.659091E+08,487967.81,40200.00,1.478400E+07,43482.33
1761721207,463481.02,1.705439E+08,487268.19,41300.00,1.519700E+07,43419.98
1761721217,466836.78,1.752123E+08,486700.65,41599.98,1.561300E+07,43369.43
1761721227,492663.03,1.801389E+08,486861.80,43900.00,1.605200E+07,43383.77
1761721237,520727.20,1.853462E+08,487752.99,46400.02,1.651600E+07,43463.14
1761721247,492637.00,1.902726E+08,487878.22,43900.00,1.695500E+07,43474.34
1761721257,473572.75,1.950083E+08,487520.58,42199.98,1.737700E+07,43442.48
1761721267,510626.00,2.001146E+08,488084.13,45500.00,1.783200E+07,43492.67
1761721277,509473.94,2.052093E+08,488593.41,45399.99,1.828600E+07,43538.08
1761721287,507269.33,2.102820E+08,489027.74,45200.03,1.873800E+07,43576.73
1761721297,522931.00,2.155113E+08,489798.26,46600.00,1.920400E+07,43645.44
1761721307,484800.01,2.203593E+08,489687.19,43200.00,1.963600E+07,43635.54
1761721317,471344.71,2.250728E+08,489288.44,41999.97,2.005600E+07,43599.99
1761721327,461242.28,2.296852E+08,488691.72,41100.02,2.046700E+07,43546.79
1761721337,501613.00,2.347013E+08,488960.91,44700.00,2.091400E+07,43570.82
1761721347,465741.76,2.393587E+08,488487.05,41499.98,2.132900E+07,43528.56
1761721357,471321.25,2.440719E+08,488143.73,42000.02,2.174900E+07,43497.99
1761721367,488164.00,2.489536E+08,488144.13,43500.00,2.218400E+07,43498.03
1761721377,521836.00,2.541719E+08,488792.05,46500.00,2.264900E+07,43555.76
1761721387,499406.00,2.591660E+08,488992.31,44500.00,2.309400E+07,43573.57
1761721397,510593.77,2.642719E+08,489392.34,45499.98,2.354900E+07,43609.25
1761721407,517337.23,2.694453E+08,489900.43,46100.02,2.401000E+07,43654.53
1761721417,511743.01,2.745627E+08,490290.48,45600.00,2.446600E+07,43689.27
1761721427,487038.99,2.794331E+08,490233.43,43400.00,2.490000E+07,43684.20
1761721437,469107.99,2.841242E+08,489869.20,41800.00,2.531800E+07,43651.71
1761721447,454499.88,2.886692E+08,489269.72,40499.99,2.572300E+07,43598.29
1761721457,473579.15,2.934050E+08,489008.21,42200.01,2.614500E+07,43574.99
1761721467,481412.98,2.982191E+08,488883.70,42900.00,2.657400E+07,43563.92
1761721477,460126.03,3.028204E+08,488419.87,41000.00,2.698400E+07,43522.57
1761721487,484800.01,3.076684E+08,488362.41,43200.00,2.741600E+07,43517.45
1761721497,520691.97,3.128753E+08,488867.56,46400.00,2.788000E+07,43562.49
1761721507,510625.81,3.179816E+08,489202.30,45499.98,2.833500E+07,43592.30
1761721517,496016.88,3.229417E+08,489305.55,44199.99,2.877700E+07,43601.50
1761721527,507239.33,3.280141E+08,489573.22,45200.03,2.922900E+07,43625.36
1761721537,520725.96,3.332214E+08,490031.35,46400.00,2.969300E+07,43666.17
1761721547,471319.02,3.379346E+08,489760.15,42000.00,3.011300E+07,43642.02
1761721557,476959.75,3.427042E+08,489577.29,42499.98,3.053800E+07,43625.70
1761721567,492640.26,3.476306E+08,489620.43,43900.02,3.097700E+07,43629.57
1761721577,488181.01,3.525124E+08,489600.44,43500.00,3.141200E+07,43627.77
1761721587,478054.98,3.572929E+08,489442.28,42600.00,3.183800E+07,43613.69
1761721597,481445.03,3.621074E+08,489334.21,42900.00,3.226700E+07,43604.05
1761721607,500491.98,3.671123E+08,489482.98,44600.00,3.271300E+07,43617.32
1761721617,452262.01,3.716349E+08,488993.23,40300.00,3.311600E+07,43573.68
1761721627,508364.98,3.767186E+08,489244.81,45300.00,3.356900E+07,43596.10
