Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761732005,481410.98,4.814130E+06,481410.98,42899.82,4.290000E+05,42899.82
1761732015,472461.24,9.538740E+06,476936.12,42100.02,8.500000E+05,42499.92
1761732025,488157.01,1.442031E+07,480676.41,43500.00,1.285000E+06,42833.28
1761732035,434299.99,1.876331E+07,469082.32,38700.00,1.672000E+06,41799.96
1761732045,490426.01,2.366757E+07,473351.05,43700.00,2.109000E+06,42179.97
1761732055,503882.01,2.870639E+07,478439.54,44900.00,2.558000E+06,42633.31
1761732065,493778.89,3.364418E+07,480630.88,43999.99,2.998000E+06,42828.55
1761732075,529676.09,3.894094E+07,486761.52,47200.01,3.470000E+06,43374.98
1761732085,517337.03,4.411431E+07,490158.80,46100.00,3.931000E+06,43677.76
1761732095,455626.78,4.867058E+07,486705.60,40599.98,4.337000E+06,43369.98
1761732105,473573.23,5.340631E+07,485511.75,42200.02,4.759000E+06,43263.62
1761732115,476969.00,5.817600E+07,484799.85,42500.00,5.184000E+06,43199.99
1761732125,515099.98,6.332700E+07,487130.63,45900.00,5.643000E+06,43407.68
1761732135,515099.98,6.847800E+07,489128.44,45900.00,6.102000E+06,43585.70
1761732145,522931.00,7.370731E+07,491381.94,46600.00,6.568000E+06,43786.66
1761732155,464599.71,7.835331E+07,489708.05,41399.97,6.982000E+06,43637.49
1761732165,488190.34,8.323521E+07,489618.78,43500.03,7.417000E+06,43629.40
1761732175,487035.96,8.810557E+07,489475.29,43400.00,7.851000E+06,43616.66
1761732185,515100.00,9.325657E+07,490823.96,45900.00,8.310000E+06,43736.83
1761732195,528556.03,9.854213E+07,492710.56,47100.00,8.781000E+06,43904.99
1761732205,505000.00,1.035921E+08,493295.77,45000.00,9.231000E+06,43957.14
1761732215,470226.00,1.082944E+08,492247.14,41900.00,9.650000E+06,43863.63
1761732225,482554.99,1.131199E+08,491825.75,43000.00,1.008000E+07,43826.08
1761732235,465727.01,1.177772E+08,490738.30,41500.00,1.049500E+07,43729.16
1761732245,512837.00,1.229056E+08,491622.25,45700.00,1.095200E+07,43807.99
1761732255,528581.00,1.281914E+08,493043.74,47100.00,1.142300E+07,43934.61
1761732265,500492.01,1.331963E+08,493319.60,44600.00,1.186900E+07,43959.25
1761732275,471342.98,1.379097E+08,492534.72,42000.00,1.228900E+07,43889.28
1761732285,469083.98,1.426006E+08,491726.07,41800.00,1.270700E+07,43817.24
1761732295,475841.82,1.473590E+08,491196.60,42399.98,1.313100E+07,43769.99
1761732305,491513.24,1.522741E+08,491206.81,43800.02,1.356900E+07,43770.96
1761732315,539807.96,1.576722E+08,492725.60,48100.00,1.405000E+07,43906.24
1761732325,520692.00,1.628791E+08,493573.07,46400.00,1.451400E+07,43981.81
1761732335,480325.73,1.676824E+08,493183.44,42799.98,1.494200E+07,43947.05
1761732345,475818.04,1.724406E+08,492687.28,42400.00,1.536600E+07,43902.85
1761732355,465717.24,1.770977E+08,491938.12,41500.02,1.578100E+07,43836.11
1761732365,529684.00,1.823946E+08,492958.28,47200.00,1.625300E+07,43927.02
1761732375,521835.00,1.876129E+08,493718.19,46500.00,1.671800E+07,43994.73
1761732385,506119.86,1.926741E+08,494036.18,45099.99,1.716900E+07,44023.07
1761732395,467987.14,1.973540E+08,493384.96,41700.01,1.758600E+07,43965.00
1761732405,487039.00,2.022244E+08,493230.18,43400.00,1.802000E+07,43951.22
1761732415,464599.99,2.068704E+08,492548.50,41400.00,1.843400E+07,43890.47
1761732425,519573.98,2.120661E+08,493177.00,46300.00,1.889700E+07,43946.51
1761732435,518487.03,2.172510E+08,493752.23,46200.00,1.935900E+07,43997.72
1761732445,497138.99,2.222224E+08,493827.49,44300.00,1.980200E+07,44004.44
1761732455,472460.99,2.269470E+08,493363.00,42100.00,2.022300E+07,43963.04
1761732465,463457.90,2.315816E+08,492726.73,41299.99,2.063600E+07,43906.38
1761732475,467981.10,2.362614E+08,492211.19,41700.01,2.105300E+07,43860.41
1761732485,475817.99,2.410196E+08,491876.64,42400.00,2.147700E+07,43830.61
1761732495,490401.01,2.459236E+08,491847.12,43700.00,2.191400E+07,43828.00
1761732505,499398.98,2.509176E+08,491995.20,44500.00,2.235900E+07,43841.17
1761732515,476936.90,2.556869E+08,491705.62,42499.99,2.278400E+07,43815.38
1761732525,488164.12,2.605686E+08,491638.80,43500.01,2.321900E+07,43809.43
1761732535,511735.98,2.656859E+08,492010.97,45600.00,2.367500E+07,43842.59
1761732545,528563.97,2.709716E+08,492675.57,47100.00,2.414600E+07,43901.82
1761732555,508381.05,2.760554E+08,492956.02,45300.00,2.459900E+07,43926.78
1761732565,524081.97,2.812962E+08,493502.09,46700.00,2.506600E+07,43975.44
