Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761722100,501610.33,5.016120E+06,501610.33,44699.85,4.470000E+05,44699.85
1761722110,500526.98,1.002139E+07,501068.66,44600.00,8.930000E+05,44649.92
1761722120,497134.99,1.499274E+07,499757.44,44300.00,1.336000E+06,44533.28
1761722130,482565.00,1.981839E+07,495459.33,43000.00,1.766000E+06,44149.96
1761722140,427562.00,2.409401E+07,481879.87,38100.00,2.147000E+06,42939.97
1761722150,428677.97,2.838079E+07,473012.89,38200.00,2.529000E+06,42149.98
1761722160,515100.04,3.353179E+07,479025.34,45900.00,2.988000E+06,42685.69
1761722170,497160.01,3.850339E+07,481292.17,44300.00,3.431000E+06,42887.48
1761722180,524081.99,4.374421E+07,486046.59,46700.00,3.898000E+06,43311.09
1761722190,519573.01,4.893994E+07,489399.23,46300.00,4.361000E+06,43609.99
1761722200,510624.00,5.404618E+07,491328.76,45500.00,4.816000E+06,43781.80
1761722210,481412.99,5.886031E+07,490502.44,42900.00,5.245000E+06,43708.32
1761722220,466863.02,6.352894E+07,488684.03,41600.00,5.661000E+06,43546.14
1761722230,481418.99,6.834313E+07,488165.10,42900.00,6.090000E+06,43499.99
1761722240,500526.00,7.334839E+07,488989.16,44600.00,6.536000E+06,43573.32
1761722250,510591.72,7.845431E+07,490339.32,45499.97,6.991000E+06,43693.74
1761722260,512863.28,8.358294E+07,491664.25,45700.02,7.448000E+06,43811.76
1761722270,491545.00,8.849839E+07,491657.63,43800.00,7.886000E+06,43811.10
1761722280,451118.98,9.300958E+07,489524.02,40200.00,8.288000E+06,43621.04
1761722290,464600.03,9.765558E+07,488277.82,41400.00,8.702000E+06,43509.99
1761722300,517362.84,1.028292E+08,489662.82,46099.99,9.163000E+06,43633.33
1761722310,509472.97,1.079239E+08,490563.28,45400.00,9.617000E+06,43713.63
1761722320,510627.16,1.130302E+08,491435.62,45500.01,1.007200E+07,43791.30
1761722330,480291.01,1.178331E+08,490971.26,42800.00,1.050000E+07,43749.99
1761722340,451144.99,1.223446E+08,489378.21,40200.00,1.090200E+07,43607.99
1761722350,471342.98,1.270580E+08,488684.55,42000.00,1.132200E+07,43546.15
1761722360,491513.03,1.319731E+08,488789.31,43800.00,1.176000E+07,43555.55
1761722370,498287.01,1.369560E+08,489128.51,44400.00,1.220400E+07,43585.71
