Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761723348,499372.36,4.993740E+06,499372.36,44499.85,4.450000E+05,44499.85
1761723358,519584.02,1.018958E+07,509478.17,46300.00,9.080000E+05,45399.93
1761723368,512855.01,1.531813E+07,510603.78,45700.00,1.365000E+06,45499.95
1761723378,463480.98,1.995294E+07,498823.09,41300.00,1.778000E+06,44449.96
1761723388,428706.01,2.424000E+07,484799.68,38200.00,2.160000E+06,43199.97
1761723398,496021.00,2.920021E+07,486669.90,44200.00,2.602000E+06,43366.64
1761723408,536418.00,3.456439E+07,493776.77,47800.00,3.080000E+06,43999.98
1761723418,528555.00,3.984994E+07,498124.05,47100.00,3.551000E+06,44387.48
1761723428,520726.95,4.505721E+07,500635.48,46400.00,4.015000E+06,44611.09
1761723438,544279.04,5.050000E+07,504999.83,48500.00,4.500000E+06,44999.99
1761723448,522930.79,5.572931E+07,506629.92,46599.98,4.966000E+06,45145.44
1761723458,474700.19,6.047631E+07,503969.11,42300.02,5.389000E+06,44908.32
1761723468,470226.00,6.517857E+07,501373.49,41900.00,5.808000E+06,44676.91
1761723478,475817.01,6.993674E+07,499548.03,42400.00,6.232000E+06,44514.28
1761723488,521847.03,7.515521E+07,501034.62,46500.00,6.697000E+06,44646.66
1761723498,557735.67,8.073257E+07,504578.44,49699.97,7.194000E+06,44962.49
