Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761724549,490377.28,4.903940E+06,490377.28,43698.51,4.370000E+05,43698.51
1761724559,475818.00,9.662120E+06,483097.76,42400.00,8.610000E+05,43049.27
1761724569,485928.01,1.452140E+07,484041.17,43300.00,1.294000E+06,43132.84
1761724579,496018.00,1.948158E+07,487035.35,44200.00,1.736000E+06,43399.63
1761724589,507262.99,2.455421E+07,491080.85,45200.00,2.188000E+06,43759.70
1761724599,511718.99,2.967140E+07,494520.52,45600.00,2.644000E+06,44066.42
1761724609,515090.74,3.482231E+07,497459.11,45899.98,3.103000E+06,44328.35
1761724619,503882.26,3.986113E+07,498262.00,44900.02,3.552000E+06,44399.81
1761724629,455626.99,4.441740E+07,493524.80,40600.00,3.958000E+06,43977.61
1761724639,483673.02,4.925413E+07,492539.62,43100.00,4.389000E+06,43889.85
1761724649,516217.97,5.441631E+07,494692.19,46000.00,4.849000E+06,44081.68
1761724659,531943.00,5.973574E+07,497796.42,47400.00,5.323000E+06,44358.21
1761724669,531947.01,6.505521E+07,500423.38,47400.00,5.797000E+06,44592.19
1761724679,498252.99,7.003774E+07,500268.35,44400.00,6.241000E+06,44578.46
1761724689,461246.99,7.465021E+07,497666.93,41100.00,6.652000E+06,44346.57
