Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761727029,487030.43,4.870390E+06,487030.43,43399.24,4.340000E+05,43399.24
1761727039,501618.96,9.886580E+06,494324.63,44700.00,8.810000E+05,44049.61
1761727049,493773.04,1.482431E+07,494140.76,44000.00,1.321000E+06,44033.07
1761727059,438808.02,1.921239E+07,480307.64,39100.00,1.712000E+06,42799.81
1761727069,471318.98,2.392558E+07,478509.92,42000.00,2.132000E+06,42639.85
1761727079,488180.98,2.880739E+07,480121.75,43500.00,2.567000E+06,42783.21
1761727089,531919.01,3.412658E+07,487521.34,47400.00,3.041000E+06,43442.75
1761727099,542035.95,3.954694E+07,494335.66,48300.00,3.524000E+06,44049.90
1761727109,507236.85,4.461931E+07,495769.12,45199.99,3.976000E+06,44177.69
1761727119,519608.23,4.981539E+07,498153.02,46300.02,4.439000E+06,44389.92
1761727129,485917.70,5.467457E+07,497040.72,43299.97,4.872000E+06,44290.84
1761727139,404000.26,5.871457E+07,489287.37,36000.02,5.232000E+06,43599.94
1761727149,444399.97,6.315857E+07,485834.49,39600.00,5.628000E+06,43292.25
1761727159,516220.00,6.832077E+07,488004.89,46000.00,6.088000E+06,43485.66
1761727169,528577.01,7.360654E+07,490709.69,47100.00,6.559000E+06,43726.62
1761727179,528564.01,7.889218E+07,493075.58,47100.00,7.030000E+06,43937.45
1761727189,484803.01,8.374021E+07,492588.96,43200.00,7.462000E+06,43894.07
1761727199,465717.99,8.839739E+07,491096.13,41500.00,7.877000E+06,43761.07
1761727209,463478.79,9.303218E+07,489642.59,41299.98,8.290000E+06,43631.54
1761727219,524082.24,9.827300E+07,491364.57,46700.02,8.757000E+06,43784.96
1761727229,510593.77,1.033789E+08,492280.24,45499.98,9.212000E+06,43866.63
1761727239,524080.23,1.086197E+08,493725.70,46700.02,9.679000E+06,43995.42
1761727249,499384.00,1.136136E+08,493971.71,44500.00,1.012400E+07,44017.36
1761727259,464600.00,1.182596E+08,492747.89,41400.00,1.053800E+07,43908.30
