Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761728294,483643.81,4.836580E+06,483643.81,43098.74,4.310000E+05,43098.74
1761728304,489297.96,9.729560E+06,486470.84,43600.00,8.670000E+05,43349.36
1761728314,475818.02,1.448774E+07,482919.94,42400.00,1.291000E+06,43032.91
1761728324,481446.97,1.930221E+07,482551.70,42900.00,1.720000E+06,42999.68
1761728334,501619.01,2.431840E+07,486365.14,44700.00,2.167000E+06,43339.75
1761728344,508381.03,2.940221E+07,490034.44,45300.00,2.620000E+06,43666.45
1761728354,513979.00,3.454200E+07,493455.07,45800.00,3.078000E+06,43971.24
1761728364,515099.98,3.969300E+07,496160.68,45900.00,3.537000E+06,44212.34
1761728374,503852.01,4.473152E+07,497015.27,44900.00,3.986000E+06,44288.74
1761728384,464606.00,4.937758E+07,493774.35,41400.00,4.400000E+06,43999.87
1761728394,470216.01,5.407974E+07,491632.69,41900.00,4.819000E+06,43808.97
1761728404,520721.97,5.928700E+07,494056.81,46399.64,5.283000E+06,44024.86
1761728414,530798.07,6.459494E+07,496883.03,47300.36,5.756000E+06,44276.82
1761728424,528564.03,6.988058E+07,499145.95,47100.00,6.227000E+06,44478.48
1761728434,494900.01,7.482958E+07,498862.89,44100.00,6.668000E+06,44453.25
1761728444,474714.99,7.957673E+07,497353.65,42300.00,7.091000E+06,44318.67
1761728454,450000.99,8.407674E+07,494568.20,40100.00,7.492000E+06,44070.51
1761728464,506120.00,8.913794E+07,495209.97,45100.00,7.943000E+06,44127.71
1761728474,516218.69,9.430013E+07,496315.69,45999.97,8.403000E+06,44226.25
1761728484,522961.30,9.952974E+07,497647.97,46600.03,8.869000E+06,44344.93
1761728494,502765.00,1.045574E+08,497891.64,44800.00,9.317000E+06,44366.60
1761728504,464600.03,1.092034E+08,496378.38,41400.00,9.731000E+06,44231.76
1761728514,462361.02,1.138270E+08,494899.37,41200.00,1.014300E+07,44099.94
1761728524,490393.95,1.187309E+08,494711.64,43700.00,1.058000E+07,44083.28
1761728534,513980.05,1.238707E+08,495482.38,45800.00,1.103800E+07,44151.95
1761728544,512864.98,1.289994E+08,496150.94,45700.00,1.149500E+07,44211.49
1761728554,483681.97,1.338362E+08,495689.13,43100.00,1.192600E+07,44170.32
1761728564,481409.85,1.386503E+08,495179.15,42899.99,1.235500E+07,44124.95
1761728574,471343.18,1.433637E+08,494357.22,42000.02,1.277500E+07,44051.68
1761728584,481447.01,1.481782E+08,493926.88,42900.00,1.320400E+07,44013.29
1761728594,521809.89,1.533963E+08,494826.33,46499.99,1.366900E+07,44093.51
1761728604,528590.10,1.586822E+08,495881.45,47100.01,1.414000E+07,44187.46
1761728614,518456.02,1.638668E+08,496565.53,46200.00,1.460200E+07,44248.45
1761728624,478053.99,1.686473E+08,496021.07,42600.00,1.502800E+07,44199.96
1761728634,473582.01,1.733831E+08,495379.96,42200.00,1.545000E+07,44142.82
1761728644,459005.01,1.779732E+08,494369.54,40900.00,1.585900E+07,44052.74
1761728654,519576.00,1.831689E+08,495050.80,46300.00,1.632200E+07,44113.48
1761728664,519583.92,1.883648E+08,495696.41,46299.90,1.678500E+07,44171.02
1761728674,487060.69,1.932354E+08,495474.98,43400.06,1.721900E+07,44151.25
1761728684,467953.03,1.979149E+08,494786.93,41700.00,1.763600E+07,44089.97
1761728694,482565.29,2.027406E+08,494488.84,43000.03,1.806600E+07,44063.38
1761728704,515099.65,2.078916E+08,494979.57,45899.97,1.852500E+07,44107.11
1761728714,527437.35,2.131659E+08,495734.41,47000.03,1.899500E+07,44174.39
1761728724,518464.00,2.183506E+08,496250.99,46200.00,1.945700E+07,44220.43
1761728734,475841.96,2.231090E+08,495797.45,42400.00,1.988100E+07,44179.97
1761728744,480294.03,2.279119E+08,495460.42,42800.00,2.030900E+07,44149.97
1761728754,481444.97,2.327264E+08,495162.22,42900.00,2.073800E+07,44123.38
1761728764,458974.05,2.373161E+08,494408.30,40900.00,2.114700E+07,44056.22
1761728774,451143.97,2.418276E+08,493525.36,40200.00,2.154900E+07,43977.52
1761728784,466836.00,2.464959E+08,492991.57,41600.00,2.196500E+07,43929.97
1761728794,494901.01,2.514449E+08,493029.01,44100.00,2.240600E+07,43933.31
1761728804,527437.01,2.567193E+08,493690.70,47000.00,2.287600E+07,43992.28
1761728814,520726.02,2.619266E+08,494200.80,46400.00,2.334000E+07,44037.71
1761728824,490400.98,2.668306E+08,494130.43,43700.00,2.377700E+07,44031.46
1761728834,526341.96,2.720940E+08,494716.10,46900.00,2.424600E+07,44083.61
1761728844,508356.85,2.771776E+08,494959.68,45299.99,2.469900E+07,44105.33
1761728854,480301.19,2.819806E+08,494702.52,42800.02,2.512700E+07,44082.43
1761728864,473572.98,2.867163E+08,494338.22,42200.00,2.554900E+07,44049.98
1761728874,485941.83,2.915757E+08,494195.90,43299.99,2.598200E+07,44037.27
1761728884,458984.16,2.961656E+08,493609.04,40900.01,2.639100E+07,43984.98
1761728894,481442.98,3.009800E+08,493409.60,42900.00,2.682000E+07,43967.19
1761728904,455618.01,3.055362E+08,492800.06,40600.00,2.722600E+07,43912.88
