Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761733230,501610.85,5.016130E+06,501610.85,44699.81,4.470000E+05,44699.81
1761733240,507244.99,1.008858E+07,504427.91,45200.00,8.990000E+05,44949.90
1761733250,510615.99,1.519474E+07,506490.60,45500.00,1.354000E+06,45133.27
1761733260,494900.01,2.014374E+07,503592.96,44100.00,1.795000E+06,44874.95
1761733270,512865.00,2.527239E+07,505447.36,45700.00,2.252000E+06,45039.96
1761733280,508354.97,3.035594E+07,505931.96,45300.00,2.705000E+06,45083.30
1761733290,505000.02,3.540594E+07,505798.83,45000.00,3.155000E+06,45071.40
1761733300,535300.01,4.075894E+07,509486.47,47700.00,3.632000E+06,45399.98
1761733310,517337.01,4.593231E+07,510358.76,46100.00,4.093000E+06,45477.76
1761733320,515100.03,5.108331E+07,510832.88,45900.00,4.552000E+06,45519.98
1761733330,534181.97,5.642513E+07,512955.53,47600.00,5.028000E+06,45709.07
1761733340,533060.74,6.175574E+07,514630.96,47499.98,5.503000E+06,45858.32
1761733350,534183.24,6.709757E+07,516134.98,47600.02,5.979000E+06,45992.29
1761733360,520701.02,7.230458E+07,516461.13,46400.00,6.443000E+06,46021.41
1761733370,518481.00,7.748939E+07,516595.79,46200.00,6.905000E+06,46033.32
1761733380,496018.00,8.244957E+07,515309.67,44200.00,7.347000E+06,45918.74
1761733390,522963.99,8.767921E+07,515759.93,46600.00,7.813000E+06,45958.81
1761733400,542009.99,9.309931E+07,517218.26,48300.00,8.296000E+06,46088.88
1761733410,537569.01,9.847500E+07,518289.36,47900.00,8.775000E+06,46184.20
1761733420,519576.99,1.036708E+08,518353.74,46300.00,9.238000E+06,46189.99
1761733430,521844.02,1.088892E+08,518519.94,46500.00,9.703000E+06,46204.75
1761733440,506118.00,1.139504E+08,517956.22,45100.00,1.015400E+07,46154.54
1761733450,522939.98,1.191798E+08,518172.90,46600.00,1.062000E+07,46173.90
1761733460,539795.00,1.245777E+08,519073.82,48100.00,1.110100E+07,46254.16
1761733470,511743.01,1.296952E+08,518780.59,45600.00,1.155700E+07,46227.99
1761733480,537539.00,1.350706E+08,519502.07,47900.00,1.203600E+07,46292.30
1761733490,525201.01,1.403226E+08,519713.14,46800.00,1.250400E+07,46311.10
1761733500,530800.87,1.456306E+08,520109.13,47299.99,1.297700E+07,46346.42
1761733510,519598.09,1.508266E+08,520091.51,46300.01,1.344000E+07,46344.82
1761733520,534183.02,1.561684E+08,520561.22,47600.00,1.391600E+07,46386.66
1761733530,517334.83,1.613417E+08,520457.15,46099.98,1.437700E+07,46377.41
1761733540,516220.18,1.665039E+08,520324.74,46000.02,1.483700E+07,46365.62
1761733550,530826.99,1.718122E+08,520642.99,47300.00,1.531000E+07,46393.93
1761733560,502752.01,1.768397E+08,520116.79,44800.00,1.575800E+07,46347.05
1761733570,529683.99,1.821366E+08,520390.14,47200.00,1.623000E+07,46371.42
1761733580,519573.97,1.873323E+08,520367.46,46300.00,1.669300E+07,46369.44
1761733590,509508.02,1.924274E+08,520073.97,45400.00,1.714700E+07,46343.24
1761733600,537535.01,1.978027E+08,520533.47,47900.00,1.762600E+07,46384.21
1761733610,534182.57,2.031446E+08,520883.44,47599.96,1.810200E+07,46415.38
1761733620,505000.40,2.081946E+08,520486.37,45000.04,1.855200E+07,46379.99
1761733630,535300.00,2.135476E+08,520847.68,47700.00,1.902900E+07,46412.19
1761733640,518456.00,2.187321E+08,520790.73,46200.00,1.949100E+07,46407.14
1761733650,517344.75,2.239056E+08,520710.59,46099.98,1.995200E+07,46399.99
1761733660,515100.25,2.290566E+08,520583.09,45900.02,2.041100E+07,46388.63
1761733670,509498.90,2.341516E+08,520336.77,45399.99,2.086500E+07,46366.66
1761733680,508355.81,2.392351E+08,520076.31,45299.98,2.131800E+07,46343.47
1761733690,525200.29,2.444871E+08,520185.33,46800.03,2.178600E+07,46353.19
1761733700,507245.01,2.495596E+08,519915.74,45200.00,2.223800E+07,46329.16
1761733710,529698.95,2.548566E+08,520115.40,47200.00,2.271000E+07,46346.93
1761733720,527437.03,2.601309E+08,520261.83,47000.00,2.318000E+07,46360.00
1761733730,540927.00,2.655402E+08,520667.03,48200.00,2.366200E+07,46396.07
1761733740,512837.01,2.706686E+08,520516.46,45700.00,2.411900E+07,46382.69
1761733750,537563.00,2.760442E+08,520838.09,47900.00,2.459800E+07,46411.32
1761733760,538652.99,2.814307E+08,521168.00,48000.00,2.507800E+07,46440.74
1761733770,536419.77,2.867949E+08,521445.30,47799.98,2.555600E+07,46465.45
1761733780,507237.23,2.918673E+08,521191.58,45200.02,2.600800E+07,46442.85
1761733790,521842.94,2.970857E+08,521203.01,46499.99,2.647300E+07,46443.86
1761733800,540901.81,3.024948E+08,521542.65,48199.98,2.695500E+07,46474.13
1761733810,516245.26,3.076572E+08,521452.86,46000.02,2.741500E+07,46466.10
1761733820,519572.97,3.128529E+08,521421.53,46300.00,2.787800E+07,46463.33
1761733830,522962.69,3.180826E+08,521446.79,46599.97,2.834400E+07,46465.57
1761733840,528556.31,3.233681E+08,521561.46,47100.03,2.881500E+07,46475.80
1761733850,475818.02,3.281263E+08,520835.38,42400.00,2.923900E+07,46411.11
1761733860,527468.97,3.334010E+08,520939.03,47000.00,2.970900E+07,46420.31
1761733870,530794.03,3.387089E+08,521090.64,47300.00,3.018200E+07,46433.84
1761733880,515099.99,3.438599E+08,520999.88,45900.00,3.064100E+07,46425.75
1761733890,528554.98,3.491455E+08,521112.64,47100.00,3.111200E+07,46435.82
1761733900,513982.00,3.542853E+08,521007.78,45800.00,3.157000E+07,46426.47
1761733910,536427.02,3.596496E+08,521231.24,47800.00,3.204800E+07,46446.37
1761733920,542036.00,3.650699E+08,521528.45,48300.00,3.253100E+07,46472.85
1761733930,503880.00,3.701087E+08,521279.88,44900.00,3.298000E+07,46450.70
1761733940,533064.98,3.754394E+08,521443.57,47500.00,3.345500E+07,46465.27
1761733950,526318.02,3.807026E+08,521510.34,46900.00,3.392400E+07,46471.23
1761733960,506116.98,3.857637E+08,521302.32,45100.00,3.437500E+07,46452.70
1761733970,507239.02,3.908361E+08,521114.81,45200.00,3.482700E+07,46436.00
1761733980,512860.75,3.959647E+08,521006.20,45699.98,3.528400E+07,46426.31
1761733990,509484.24,4.010596E+08,520856.57,45400.02,3.573800E+07,46412.98
1761734000,538681.00,4.064464E+08,521085.09,48000.00,3.621800E+07,46433.33
1761734010,521818.74,4.116646E+08,521094.37,46499.98,3.668300E+07,46434.17
1761734020,512855.26,4.167931E+08,520991.38,45700.02,3.714000E+07,46425.00
1761734030,564480.99,4.224379E+08,521528.29,50300.00,3.764300E+07,46472.84
1761734040,516219.00,4.276001E+08,521463.55,46000.00,3.810300E+07,46467.07
1761734050,499407.70,4.325942E+08,521197.81,44499.97,3.854800E+07,46443.37
1761734060,510591.92,4.377001E+08,521071.55,45499.99,3.900300E+07,46432.14
1761734070,529708.35,4.429972E+08,521173.16,47200.03,3.947500E+07,46441.17
1761734080,497136.04,4.479686E+08,520893.66,44300.00,3.991800E+07,46416.28
1761734090,501642.72,4.529850E+08,520672.38,44699.97,4.036500E+07,46396.55
1761734100,529674.32,4.582817E+08,520774.68,47200.03,4.083700E+07,46405.68
1761734110,536419.97,4.636459E+08,520950.47,47800.00,4.131500E+07,46421.35
