Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761743827,500481.29,5.004940E+06,500481.29,44598.87,4.460000E+05,44598.87
1761743837,500527.00,1.001021E+07,500504.15,44600.00,8.920000E+05,44599.43
1761743847,503878.80,1.504900E+07,501629.02,44899.98,1.341000E+06,44699.62
1761743857,490393.29,1.995294E+07,498820.10,43699.94,1.778000E+06,44449.70
1761743867,525200.98,2.520494E+07,504096.24,46800.09,2.246000E+06,44919.77
1761743877,499406.00,3.019900E+07,503314.54,44500.00,2.691000E+06,44849.81
1761743887,536421.02,3.556321E+07,508044.02,47800.00,3.169000E+06,45271.26
1761743897,547635.97,4.103957E+07,512993.00,48800.00,3.657000E+06,45712.36
1761743907,521821.98,4.625779E+07,513973.99,46500.00,4.122000E+06,45799.87
1761743917,526341.81,5.152121E+07,515210.77,46899.98,4.591000E+06,45909.88
1761743927,520692.20,5.672813E+07,515709.08,46400.02,5.055000E+06,45954.44
1761743937,528587.03,6.201400E+07,516782.24,47100.00,5.526000E+06,46049.90
1761743947,510593.99,6.711994E+07,516306.22,45500.00,5.981000E+06,46007.60
1761743957,533062.00,7.245056E+07,517503.06,47500.00,6.456000E+06,46114.20
1761743967,533064.76,7.778121E+07,518540.51,47499.98,6.931000E+06,46206.59
1761743977,527436.23,8.305557E+07,519096.49,47000.02,7.401000E+06,46256.18
1761743987,529673.72,8.835231E+07,519718.68,47199.98,7.873000E+06,46311.69
1761743997,522961.01,9.358192E+07,519898.81,46600.00,8.339000E+06,46327.71
