Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761734431,492628.62,4.926310E+06,492628.62,43899.79,4.390000E+05,43899.79
1761734441,511742.74,1.004374E+07,502185.66,45599.98,8.950000E+05,44749.88
1761734451,526320.21,1.530694E+07,510230.49,46900.02,1.364000E+06,45466.59
1761734461,476937.01,2.007631E+07,501907.13,42500.00,1.789000E+06,44724.94
1761734471,517369.02,2.525000E+07,504999.51,46100.00,2.250000E+06,44999.96
1761734481,519573.81,3.044574E+07,507428.55,46299.98,2.713000E+06,45216.63
1761734491,536420.21,3.580994E+07,511570.22,47800.02,3.191000E+06,45585.68
1761734501,549905.95,4.130900E+07,516362.18,49000.00,3.681000E+06,46012.47
1761734511,543131.07,4.674031E+07,519336.50,48400.01,4.165000E+06,46277.75
1761734521,516250.99,5.190282E+07,519027.95,46000.00,4.625000E+06,46249.98
1761734531,524049.01,5.714331E+07,519484.41,46700.00,5.092000E+06,46290.89
1761734541,527469.00,6.241800E+07,520149.79,47000.00,5.562000E+06,46349.98
1761734551,542013.00,6.783813E+07,521831.57,48300.00,6.045000E+06,46499.98
1761734561,551025.99,7.334839E+07,523916.89,49100.00,6.536000E+06,46685.70
1761734571,542018.84,7.876858E+07,525123.69,48299.99,7.019000E+06,46793.32
1761734581,530816.16,8.407674E+07,525479.47,47300.01,7.492000E+06,46824.99
1761734591,519583.87,8.927258E+07,525132.67,46299.99,7.955000E+06,46794.10
