Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761735624,517337.04,5.173390E+06,517337.04,46099.83,4.610000E+05,46099.83
1761735634,512861.00,1.030200E+07,515099.02,45700.00,9.180000E+05,45899.91
1761735644,518456.72,1.548657E+07,516218.26,46199.98,1.380000E+06,45999.93
1761735654,507237.27,2.055894E+07,513973.01,45200.02,1.832000E+06,45799.96
1761735664,505000.00,2.560894E+07,512178.41,45000.00,2.282000E+06,45639.97
1761735674,505000.01,3.065894E+07,510982.01,45000.00,2.732000E+06,45533.30
1761735684,503881.77,3.569776E+07,509967.69,44899.98,3.181000E+06,45442.83
1761735694,539782.25,4.109558E+07,513694.51,48100.02,3.662000E+06,45774.98
1761735704,517362.72,4.626921E+07,514102.09,46099.98,4.123000E+06,45811.09
1761735714,533037.28,5.159958E+07,515995.61,47500.02,4.598000E+06,45979.98
1761735724,535299.97,5.695258E+07,517750.55,47700.00,5.075000E+06,46136.35
1761735734,540917.90,6.236176E+07,519681.16,48199.99,5.557000E+06,46308.32
1761735744,528555.09,6.764731E+07,520363.77,47100.01,6.028000E+06,46369.22
1761735754,518490.04,7.283221E+07,520229.93,46200.00,6.490000E+06,46357.13
1761735764,531909.95,7.815131E+07,521008.60,47400.00,6.964000E+06,46426.65
1761735774,526327.04,8.341458E+07,521341.00,46900.00,7.433000E+06,46456.24
1761735784,526341.99,8.867800E+07,521635.18,46900.00,7.902000E+06,46482.34
1761735794,543130.85,9.410931E+07,522829.38,48399.99,8.386000E+06,46588.88
1761735804,542042.75,9.952974E+07,523840.61,48299.98,8.869000E+06,46678.94
1761735814,513983.39,1.046696E+08,523347.75,45800.03,9.327000E+06,46634.99
1761735824,535300.00,1.100226E+08,523916.91,47700.00,9.804000E+06,46685.71
1761735834,509473.98,1.151173E+08,523260.41,45400.00,1.025800E+07,46627.26
1761735844,537568.98,1.204930E+08,523882.52,47900.00,1.073700E+07,46682.60
1761735854,522938.70,1.257224E+08,523843.20,46599.97,1.120300E+07,46679.16
1761735864,537561.34,1.310980E+08,524391.92,47900.03,1.168200E+07,46727.99
1761735874,538657.02,1.364846E+08,524940.58,48000.00,1.216200E+07,46776.92
1761735884,510600.99,1.415906E+08,524409.48,45500.00,1.261700E+07,46729.62
1761735894,544281.96,1.470334E+08,525119.21,48500.00,1.310200E+07,46792.85
1761735904,513972.87,1.521731E+08,524734.86,45799.99,1.356000E+07,46758.61
1761735914,544281.17,1.576159E+08,525386.40,48500.02,1.404500E+07,46816.66
1761735924,531944.97,1.629354E+08,525597.97,47400.00,1.451900E+07,46835.48
1761735934,528554.02,1.682209E+08,525690.34,47100.00,1.499000E+07,46843.74
1761735944,528565.02,1.735066E+08,525777.46,47100.00,1.546100E+07,46851.51
1761735954,531935.99,1.788259E+08,525958.59,47400.00,1.593500E+07,46867.64
