Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761736775,497137.02,4.971390E+06,497137.02,44299.82,4.430000E+05,44299.82
1761736785,515100.03,1.012239E+07,506118.50,45900.00,9.020000E+05,45099.91
1761736795,512861.00,1.525100E+07,508366.00,45700.00,1.359000E+06,45299.94
1761736805,506120.81,2.031221E+07,507804.70,45099.98,1.810000E+06,45249.95
1761736815,519573.17,2.550794E+07,510158.39,46300.01,2.273000E+06,45459.96
1761736825,507237.01,3.058031E+07,509671.50,45200.00,2.725000E+06,45416.64
1761736835,515100.00,3.573131E+07,510447.00,45900.00,3.184000E+06,45485.69
1761736845,548789.97,4.121921E+07,515239.87,48900.00,3.673000E+06,45912.48
1761736855,528553.01,4.650474E+07,516719.10,47100.00,4.144000E+06,46044.42
1761736865,536420.03,5.186894E+07,518689.19,47800.00,4.622000E+06,46219.98
1761736875,529705.67,5.716600E+07,519690.69,47199.97,5.094000E+06,46309.07
1761736885,538657.32,6.255257E+07,521271.24,48000.03,5.574000E+06,46449.98
1761736895,537537.00,6.792794E+07,522522.46,47900.00,6.053000E+06,46561.52
1761736905,518464.00,7.311258E+07,522232.57,46200.00,6.515000E+06,46535.70
1761736915,531936.01,7.843194E+07,522879.46,47400.00,6.989000E+06,46593.32
1761736925,528563.99,8.371758E+07,523234.74,47100.00,7.460000E+06,46624.99
1761736935,518481.01,8.890239E+07,522955.11,46200.00,7.922000E+06,46599.99
1761736945,544282.01,9.434521E+07,524139.94,48500.00,8.407000E+06,46705.55
1761736955,550991.99,9.985513E+07,525553.21,49100.00,8.898000E+06,46831.57
