Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761737928,501611.12,5.016130E+06,501611.12,44699.83,4.470000E+05,44699.83
1761737938,503881.01,1.005494E+07,502746.06,44900.00,8.960000E+05,44799.92
1761737948,511745.01,1.517239E+07,505745.71,45600.00,1.352000E+06,45066.61
1761737958,466834.97,1.984074E+07,496018.03,41600.00,1.768000E+06,44199.96
1761737968,478066.02,2.462140E+07,492427.63,42600.00,2.194000E+06,43879.97
1761737978,525191.01,2.987331E+07,497888.19,46800.00,2.662000E+06,44366.64
1761737988,538689.99,3.526021E+07,503717.02,48000.00,3.142000E+06,44885.69
1761737998,536417.70,4.062439E+07,507804.60,47799.97,3.620000E+06,45249.98
1761738008,522961.29,4.585400E+07,509488.68,46600.03,4.086000E+06,45399.98
1761738018,557739.02,5.143139E+07,514313.71,49700.00,4.583000E+06,45829.98
1761738028,525199.97,5.668339E+07,515303.37,46800.00,5.051000E+06,45918.17
1761738038,506117.77,6.174457E+07,514537.90,45099.98,5.502000E+06,45849.98
1761738048,511743.22,6.686200E+07,514322.93,45600.02,5.958000E+06,45830.76
1761738058,540894.03,7.227094E+07,516220.86,48200.00,6.440000E+06,45999.99
1761738068,538664.00,7.765758E+07,517717.07,48000.00,6.920000E+06,46133.32
1761738078,517362.68,8.283121E+07,517694.92,46099.97,7.381000E+06,46131.24
1761738088,534179.33,8.817300E+07,518664.59,47600.03,7.857000E+06,46217.64
1761738098,516220.99,9.333521E+07,518528.84,46000.00,8.317000E+06,46205.55
1761738108,535300.00,9.868821E+07,519411.53,47700.00,8.794000E+06,46284.20
1761738118,512837.00,1.038166E+08,519082.80,45700.00,9.251000E+06,46254.99
1761738128,535300.02,1.091696E+08,519855.05,47700.00,9.728000E+06,46323.80
1761738138,544272.98,1.146123E+08,520964.96,48500.00,1.021300E+07,46422.72
1761738148,511745.01,1.197298E+08,520564.09,45600.00,1.066900E+07,46386.95
1761738158,534181.02,1.250716E+08,521131.46,47600.00,1.114500E+07,46437.49
1761738168,526316.97,1.303347E+08,521338.88,46900.00,1.161400E+07,46455.99
1761738178,519584.00,1.355306E+08,521271.39,46300.00,1.207700E+07,46449.99
1761738188,537563.01,1.409062E+08,521874.78,47900.00,1.255600E+07,46503.70
1761738198,545399.99,1.463602E+08,522714.97,48600.00,1.304200E+07,46578.57
1761738208,518453.02,1.515447E+08,522568.00,46200.00,1.350400E+07,46565.51
1761738218,517338.99,1.567181E+08,522393.70,46100.00,1.396500E+07,46549.99
1761738228,529708.00,1.620152E+08,522629.65,47200.00,1.443700E+07,46570.96
1761738238,533037.01,1.673456E+08,522954.88,47500.00,1.491200E+07,46599.99
1761738248,539798.81,1.727436E+08,523465.30,48099.98,1.539300E+07,46645.45
1761738258,521843.16,1.779620E+08,523417.59,46500.01,1.585800E+07,46641.17
1761738268,530794.02,1.832699E+08,523628.34,47300.00,1.633100E+07,46660.00
1761738278,511744.99,1.883874E+08,523298.25,45600.00,1.678700E+07,46630.55
1761738288,539774.00,1.937851E+08,523743.54,48100.00,1.726800E+07,46670.27
1761738298,524081.01,1.990259E+08,523752.42,46700.00,1.773500E+07,46671.05
1761738308,539781.97,2.044238E+08,524163.44,48100.00,1.821600E+07,46707.69
1761738318,543155.00,2.098553E+08,524638.23,48400.00,1.870000E+07,46750.00
1761738328,515100.03,2.150063E+08,524405.59,45900.00,1.915900E+07,46729.26
1761738338,525199.97,2.202583E+08,524424.50,46800.00,1.962700E+07,46730.95
1761738348,507268.79,2.253310E+08,524025.53,45199.98,2.007900E+07,46695.34
1761738358,527439.20,2.306054E+08,524103.11,47000.02,2.054900E+07,46702.27
1761738368,530816.03,2.359136E+08,524252.29,47300.00,2.102200E+07,46715.55
1761738378,531918.99,2.412327E+08,524418.96,47400.00,2.149600E+07,46730.43
1761738388,531946.72,2.465522E+08,524579.12,47399.98,2.197000E+07,46744.68
1761738398,510592.04,2.516581E+08,524287.72,45500.00,2.242500E+07,46718.75
1761738408,508387.19,2.567420E+08,523963.22,45300.02,2.287800E+07,46689.79
1761738418,522931.04,2.619713E+08,523942.58,46600.00,2.334400E+07,46688.00
1761738428,530826.03,2.672796E+08,524077.55,47300.00,2.381700E+07,46700.00
1761738438,535298.93,2.726326E+08,524293.35,47699.99,2.429400E+07,46719.23
1761738448,533065.05,2.779632E+08,524458.85,47500.00,2.476900E+07,46733.96
1761738458,510591.99,2.830691E+08,524202.06,45500.00,2.522400E+07,46711.11
1761738468,547644.77,2.885456E+08,524628.29,48799.98,2.571200E+07,46749.09
1761738478,522954.24,2.937751E+08,524598.39,46600.02,2.617800E+07,46746.43
1761738488,533061.99,2.991057E+08,524746.88,47500.00,2.665300E+07,46759.65
1761738498,529684.00,3.044026E+08,524832.00,47200.00,2.712500E+07,46767.24
1761738508,517363.00,3.095762E+08,524705.41,46100.00,2.758600E+07,46755.93
1761738518,530791.63,3.148841E+08,524806.84,47299.97,2.805900E+07,46765.00
1761738528,530826.37,3.201924E+08,524905.53,47300.03,2.853200E+07,46773.77
1761738538,519573.99,3.253881E+08,524819.53,46300.00,2.899500E+07,46766.13
1761738548,519607.58,3.305842E+08,524736.80,46299.96,2.945800E+07,46758.73
1761738558,539773.44,3.359819E+08,524971.75,48100.04,2.993900E+07,46779.68
1761738568,529685.00,3.412788E+08,525044.26,47200.00,3.041100E+07,46786.15
