Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761739124,492628.54,4.926310E+06,492628.54,43899.78,4.390000E+05,43899.78
1761739134,508390.30,1.001021E+07,500509.40,45300.03,8.920000E+05,44599.90
1761739144,509472.99,1.510494E+07,503497.26,45400.00,1.346000E+06,44866.60
1761739154,493780.00,2.004274E+07,501067.95,44000.00,1.786000E+06,44649.95
1761739164,498257.02,2.502531E+07,500505.76,44400.00,2.230000E+06,44599.96
1761739174,491542.98,2.994074E+07,499011.96,43800.00,2.668000E+06,44466.63
1761739184,533065.02,3.527139E+07,503876.68,47500.00,3.143000E+06,44899.97
1761739194,538654.99,4.065794E+07,508223.97,48000.00,3.623000E+06,45287.47
1761739204,531945.02,4.597739E+07,510859.64,47400.00,4.097000E+06,45522.20
1761739214,527434.99,5.125174E+07,512517.17,47000.00,4.567000E+06,45669.98
1761739224,507238.79,5.632413E+07,512037.32,45199.98,5.019000E+06,45627.25
1761739234,522961.20,6.155374E+07,512947.64,46600.02,5.485000E+06,45708.32
1761739244,525200.02,6.680574E+07,513890.13,46800.00,5.953000E+06,45792.29
1761739254,526319.99,7.206894E+07,514777.98,46900.00,6.422000E+06,45871.41
1761739264,530826.96,7.737721E+07,515847.91,47300.00,6.895000E+06,45966.65
1761739274,516218.04,8.253939E+07,515871.05,46000.00,7.355000E+06,45968.74
1761739284,526317.00,8.780256E+07,516485.51,46900.00,7.824000E+06,46023.52
1761739294,509474.98,9.289731E+07,516096.04,45400.00,8.278000E+06,45988.88
1761739304,544282.02,9.834013E+07,517579.51,48500.00,8.763000E+06,46121.04
1761739314,537545.01,1.037156E+08,518577.79,47900.00,9.242000E+06,46209.99
1761739324,512855.00,1.088441E+08,518305.27,45700.00,9.699000E+06,46185.70
1761739334,546517.99,1.143093E+08,519587.67,48700.00,1.018600E+07,46299.99
1761739344,512863.00,1.194379E+08,519295.29,45700.00,1.064300E+07,46273.90
1761739354,501641.39,1.244544E+08,518559.71,44699.68,1.109000E+07,46208.31
1761739364,524085.77,1.296952E+08,518780.75,46700.34,1.155700E+07,46227.99
1761739374,533037.01,1.350256E+08,519329.07,47500.00,1.203200E+07,46276.92
1761739384,527463.02,1.403002E+08,519630.32,47000.00,1.250200E+07,46303.70
1761739394,528552.98,1.455857E+08,519948.99,47100.00,1.297300E+07,46332.14
1761739404,521843.73,1.508042E+08,520014.33,46499.98,1.343800E+07,46337.92
1761739414,527439.31,1.560786E+08,520261.82,47000.03,1.390800E+07,46359.99
1761739424,533063.97,1.614092E+08,520674.80,47500.00,1.438300E+07,46396.77
1761739434,527436.00,1.666836E+08,520886.08,47000.00,1.485300E+07,46415.62
1761739444,533064.02,1.720142E+08,521255.11,47500.00,1.532800E+07,46448.48
1761739454,530791.98,1.773221E+08,521535.61,47300.00,1.580100E+07,46473.52
1761739464,498286.98,1.823050E+08,520871.36,44400.00,1.624500E+07,46414.28
1761739474,528557.02,1.875906E+08,521084.85,47100.00,1.671600E+07,46433.33
1761739484,516217.00,1.927527E+08,520953.29,46000.00,1.717600E+07,46421.62
1761739494,535299.73,1.981057E+08,521330.83,47699.98,1.765300E+07,46455.26
1761739504,525200.29,2.033577E+08,521430.04,46800.03,1.812100E+07,46464.10
1761739514,520725.97,2.085650E+08,521412.44,46400.00,1.858500E+07,46462.49
1761739524,526321.02,2.138282E+08,521532.16,46900.00,1.905400E+07,46473.17
1761739534,485918.00,2.186874E+08,520684.21,43300.00,1.948700E+07,46397.61
1761739544,540892.00,2.240963E+08,521154.16,48200.00,1.996900E+07,46439.53
1761739554,512863.00,2.292249E+08,520965.72,45700.00,2.042600E+07,46422.72
1761739564,538664.04,2.346116E+08,521359.02,48000.00,2.090600E+07,46457.77
1761739574,499398.98,2.396056E+08,520881.62,44500.00,2.135100E+07,46415.21
1761739584,517337.00,2.447789E+08,520806.21,46100.00,2.181200E+07,46408.51
1761739594,503879.98,2.498177E+08,520453.58,44900.00,2.226100E+07,46377.08
1761739604,512865.00,2.549464E+08,520298.71,45700.00,2.271800E+07,46363.26
1761739614,517338.00,2.601198E+08,520239.49,46100.00,2.317900E+07,46358.00
1761739624,535297.00,2.654727E+08,520534.74,47700.00,2.365600E+07,46384.31
1761739634,535300.00,2.708257E+08,520818.69,47700.00,2.413300E+07,46409.61
1761739644,502764.99,2.758534E+08,520478.05,44800.00,2.458100E+07,46379.24
1761739654,527435.00,2.811277E+08,520606.88,47000.00,2.505100E+07,46390.74
1761739664,524083.01,2.863686E+08,520670.09,46700.00,2.551800E+07,46396.36
1761739674,538655.00,2.917551E+08,520991.24,48000.00,2.599800E+07,46425.00
1761739684,528567.00,2.970408E+08,521124.15,47100.00,2.646900E+07,46436.84
1761739694,497160.01,3.020124E+08,520710.98,44300.00,2.691200E+07,46400.00
1761739704,519573.02,3.072081E+08,520691.69,46300.00,2.737500E+07,46398.30
1761739714,510626.99,3.123144E+08,520523.95,45500.00,2.783000E+07,46383.33
1761739724,528555.00,3.175999E+08,520655.60,47100.00,2.830100E+07,46395.08
1761739734,530826.99,3.229082E+08,520819.66,47300.00,2.877400E+07,46409.67
1761739744,536418.00,3.282724E+08,521067.25,47800.00,2.925200E+07,46431.74
1761739754,511733.98,3.333897E+08,520921.42,45600.00,2.970800E+07,46418.75
1761739764,527445.03,3.386642E+08,521021.78,47000.00,3.017800E+07,46427.69
1761739774,526320.99,3.439274E+08,521102.07,46900.00,3.064700E+07,46434.85
1761739784,536417.75,3.492916E+08,521330.66,47799.98,3.112500E+07,46455.22
1761739794,537537.24,3.546669E+08,521569.00,47900.02,3.160400E+07,46476.47
1761739804,513980.01,3.598067E+08,521459.01,45800.00,3.206200E+07,46466.66
1761739814,534182.99,3.651486E+08,521640.78,47600.00,3.253800E+07,46482.85
1761739824,517337.03,3.703219E+08,521580.17,46100.00,3.299900E+07,46477.46
1761739834,522962.96,3.755516E+08,521599.37,46600.00,3.346500E+07,46479.16
1761739844,529683.03,3.808484E+08,521710.11,47200.00,3.393700E+07,46489.04
1761739854,534173.00,3.861901E+08,521878.52,47600.00,3.441300E+07,46504.05
1761739864,512860.98,3.913187E+08,521758.29,45700.00,3.487000E+07,46493.33
1761739874,464600.01,3.959647E+08,521006.21,41400.00,3.528400E+07,46426.31
1761739884,535299.85,4.013177E+08,521191.84,47699.99,3.576100E+07,46442.85
1761739894,513983.12,4.064576E+08,521099.42,45800.01,3.621900E+07,46434.61
1761739904,539773.98,4.118553E+08,521335.81,48100.00,3.670000E+07,46455.69
