Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761740312,487037.31,4.870390E+06,487037.31,43399.85,4.340000E+05,43399.85
1761740322,502761.01,9.898000E+06,494899.15,44800.00,8.820000E+05,44099.92
1761740332,507238.98,1.497039E+07,499012.42,45200.00,1.334000E+06,44466.62
1761740342,487035.03,1.984074E+07,496018.07,43400.00,1.768000E+06,44199.96
1761740352,501646.98,2.485721E+07,497143.86,44700.00,2.215000E+06,44299.97
1761740362,502736.99,2.988458E+07,498076.04,44800.00,2.663000E+06,44383.31
1761740372,528581.02,3.517039E+07,502433.90,47100.00,3.134000E+06,44771.41
1761740382,531918.97,4.048958E+07,506119.53,47400.00,3.608000E+06,45099.98
1761740392,534172.86,4.583131E+07,509236.56,47599.99,4.084000E+06,45377.76
1761740402,511746.15,5.094877E+07,509487.52,45600.01,4.540000E+06,45399.98
1761740412,518453.98,5.613331E+07,510302.66,46200.00,5.002000E+06,45472.71
1761740422,526326.99,6.139658E+07,511638.02,46900.00,5.471000E+06,45591.65
1761740432,505000.00,6.644658E+07,511127.40,45000.00,5.921000E+06,45546.14
1761740442,536442.02,7.181100E+07,512935.59,47800.00,6.399000E+06,45707.13
1761740452,539774.00,7.720874E+07,514724.81,48100.00,6.880000E+06,45866.66
1761740462,521846.99,8.242721E+07,515169.95,46500.00,7.345000E+06,45906.24
1761740472,506117.99,8.748839E+07,514637.48,45100.00,7.796000E+06,45858.81
1761740482,506118.03,9.254957E+07,514164.18,45100.00,8.247000E+06,45816.66
1761740492,539773.69,9.794731E+07,515512.05,48099.97,8.728000E+06,45936.83
1761740502,520725.28,1.031546E+08,515772.71,46400.02,9.192000E+06,45959.99
