Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761742639,483643.16,4.836580E+06,483643.16,43098.68,4.310000E+05,43098.68
1761742649,497163.02,9.808210E+06,490402.99,44300.00,8.740000E+05,43699.33
1761742659,498252.98,1.479074E+07,493019.62,44400.00,1.318000E+06,43932.88
1761742669,492664.98,1.971739E+07,492930.97,43900.00,1.757000E+06,43924.66
1761742679,498253.00,2.469992E+07,493995.37,44400.00,2.201000E+06,44019.73
1761742689,499387.02,2.969379E+07,494893.97,44500.00,2.646000E+06,44099.77
1761742699,506141.97,3.475521E+07,496500.82,45100.00,3.097000E+06,44242.66
1761742709,542010.01,4.017531E+07,502189.45,48300.00,3.580000E+06,44749.83
1761742719,530825.95,4.548357E+07,505371.27,47300.00,4.053000E+06,45033.18
1761742729,507236.81,5.055594E+07,505557.82,45199.98,4.505000E+06,45049.86
1761742739,503880.26,5.559474E+07,505405.32,44900.02,4.954000E+06,45036.24
1761742749,536418.97,6.095893E+07,507989.78,47800.00,5.432000E+06,45266.55
1761742759,533062.98,6.628956E+07,509918.49,47500.00,5.907000E+06,45438.35
1761742769,515101.05,7.144057E+07,510288.67,45900.00,6.366000E+06,45471.33
1761742779,540900.97,7.684958E+07,512329.48,48200.00,6.848000E+06,45653.24
1761742789,519599.01,8.204557E+07,512783.83,46300.00,7.311000E+06,45693.66
1761742799,520701.00,8.725258E+07,513249.54,46400.00,7.775000E+06,45735.21
1761742809,520715.97,9.245974E+07,513664.35,46400.00,8.239000E+06,45772.14
1761742819,535300.04,9.781274E+07,514803.06,47700.00,8.716000E+06,45873.61
1761742829,530804.99,1.031208E+08,515603.16,47300.00,9.189000E+06,45944.93
1761742839,517359.86,1.082944E+08,515686.81,46099.99,9.650000E+06,45952.31
1761742849,521833.92,1.135127E+08,515966.22,46499.99,1.011500E+07,45977.21
1761742859,508366.23,1.185964E+08,515635.79,45300.02,1.056800E+07,45947.76
1761742869,530800.98,1.239044E+08,516267.67,47300.00,1.104100E+07,46004.11
1761742879,517360.01,1.290780E+08,516311.37,46100.00,1.150200E+07,46007.94
1761742889,522931.02,1.343073E+08,516565.97,46600.00,1.196800E+07,46030.72
1761742899,543162.67,1.397389E+08,517551.03,48399.97,1.245200E+07,46118.47
1761742909,520724.30,1.449462E+08,517664.36,46400.03,1.291600E+07,46128.52
1761742919,522940.01,1.501756E+08,517846.28,46600.00,1.338200E+07,46144.78
1761742929,533054.99,1.555061E+08,518353.24,47500.00,1.385700E+07,46189.95
1761742939,516218.02,1.606683E+08,518284.36,46000.00,1.431700E+07,46183.83
1761742949,527468.93,1.659430E+08,518571.38,46999.99,1.478700E+07,46209.33
1761742959,529673.70,1.712397E+08,518907.81,47199.97,1.525900E+07,46239.35
1761742969,526320.13,1.765029E+08,519125.82,46900.01,1.572800E+07,46258.78
1761742979,498264.19,1.814856E+08,518529.77,44400.02,1.617200E+07,46205.67
1761742989,531936.01,1.868049E+08,518902.17,47400.00,1.664600E+07,46238.85
1761742999,522963.02,1.920346E+08,519011.92,46600.00,1.711200E+07,46248.61
1761743009,538654.99,1.974211E+08,519528.84,48000.00,1.759200E+07,46294.70
1761743019,520727.02,2.026284E+08,519559.57,46400.00,1.805600E+07,46297.40
1761743029,525199.64,2.078804E+08,519700.57,46799.97,1.852400E+07,46309.96
1761743039,518455.34,2.130649E+08,519670.20,46200.03,1.898600E+07,46307.28
1761743049,498263.96,2.180476E+08,519160.52,44400.00,1.943000E+07,46261.87
1761743059,548781.03,2.235354E+08,519849.37,48900.00,1.991900E+07,46323.22
1761743069,549874.02,2.290341E+08,520531.75,49000.00,2.040900E+07,46384.06
1761743079,511744.01,2.341516E+08,520336.47,45600.00,2.086500E+07,46366.64
1761743089,522964.00,2.393812E+08,520393.59,46600.00,2.133100E+07,46371.71
1761743099,496017.99,2.443414E+08,519874.96,44200.00,2.177300E+07,46325.50
1761743109,506117.02,2.494026E+08,519588.33,45100.00,2.222400E+07,46299.97
1761743119,538657.01,2.547891E+08,519977.49,48000.00,2.270400E+07,46334.66
1761743129,513980.74,2.599289E+08,519857.56,45799.98,2.316200E+07,46323.97
1761743139,521845.25,2.651474E+08,519896.53,46500.02,2.362700E+07,46327.42
1761743149,526317.99,2.704106E+08,520020.02,46900.00,2.409600E+07,46338.43
1761743159,522961.00,2.756402E+08,520075.51,46600.00,2.456200E+07,46343.37
1761743169,537538.98,2.810156E+08,520398.91,47900.00,2.504100E+07,46372.20
1761743179,522940.04,2.862450E+08,520445.11,46600.00,2.550700E+07,46376.34
1761743189,509495.98,2.913399E+08,520249.59,45400.00,2.596100E+07,46358.90
1761743199,527438.00,2.966143E+08,520375.70,47000.00,2.643100E+07,46370.15
1761743209,503882.02,3.016531E+08,520091.33,44900.00,2.688000E+07,46344.80
