Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761658414,194136.15,1.941390E+06,194136.15,17299.75,1.730000E+05,17299.75
1761658424,200882.03,3.950210E+06,197509.07,17900.00,3.520000E+05,17599.87
1761658434,195252.99,5.902740E+06,196757.04,17400.00,5.260000E+05,17533.25
1761658444,202000.01,7.922740E+06,198067.78,18000.00,7.060000E+05,17649.94
1761658454,177325.99,9.696000E+06,193919.44,15800.00,8.640000E+05,17279.95
1761658464,154857.01,1.124457E+07,187409.05,13800.00,1.002000E+06,16699.96
1761658474,179563.99,1.304021E+07,186288.33,16000.00,1.162000E+06,16599.97
1761658484,210972.98,1.514994E+07,189373.90,18800.00,1.350000E+06,16874.97
1761658494,198619.01,1.713613E+07,190401.14,17700.00,1.527000E+06,16966.64
1761658504,196408.00,1.910021E+07,191001.82,17500.00,1.702000E+06,17019.98
1761658514,200879.00,2.110900E+07,191899.75,17900.00,1.881000E+06,17099.98
1761658524,172821.00,2.283721E+07,190309.85,15400.00,2.035000E+06,16958.31
1761658534,162717.94,2.446439E+07,188187.40,14499.99,2.180000E+06,16769.21
1761658544,179561.05,2.626000E+07,187571.23,16000.00,2.340000E+06,16714.27
