Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761664278,223320.18,2.233210E+06,223320.18,19899.93,1.990000E+05,19899.93
1761664288,226694.98,4.500160E+06,225007.58,20200.00,4.010000E+05,20049.96
1761664298,222178.04,6.721940E+06,224064.40,19800.00,5.990000E+05,19966.64
1761664308,215464.00,8.876580E+06,221914.30,19200.00,7.910000E+05,19774.98
1761664318,186298.99,1.073957E+07,214791.24,16600.00,9.570000E+05,19139.99
1761664328,172817.00,1.246774E+07,207795.54,15400.00,1.111000E+06,18516.66
1761664338,196378.00,1.443152E+07,206164.46,17500.00,1.286000E+06,18371.42
1761664348,217721.99,1.660874E+07,207609.15,19400.00,1.480000E+06,18499.99
1761664358,214339.01,1.875213E+07,208356.92,19100.00,1.671000E+06,18566.66
1761664368,231181.00,2.106394E+07,210639.32,20600.00,1.877000E+06,18769.99
1761664378,215463.99,2.321858E+07,211077.93,19200.00,2.069000E+06,18809.08
1761664388,187415.99,2.509274E+07,209106.10,16700.00,2.236000E+06,18633.33
1761664398,182920.02,2.692194E+07,207091.79,16300.00,2.399000E+06,18453.84
1761664408,193026.99,2.885221E+07,206087.16,17200.00,2.571000E+06,18364.28
1761664418,189655.00,3.074876E+07,204991.68,16900.00,2.740000E+06,18266.66
1761664428,231181.00,3.306057E+07,206628.52,20600.00,2.946000E+06,18412.50
1761664438,208743.00,3.514800E+07,206752.90,18600.00,3.132000E+06,18423.53
1761664448,194138.99,3.708939E+07,206052.12,17300.00,3.305000E+06,18361.11
1761664458,197492.00,3.906431E+07,205601.59,17600.00,3.481000E+06,18321.05
