Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761667186,205355.37,2.053560E+06,205355.37,18299.94,1.830000E+05,18299.94
1761667196,195257.00,4.006130E+06,200306.19,17400.00,3.570000E+05,17849.97
1761667206,189660.99,5.902740E+06,196757.79,16900.00,5.260000E+05,17533.31
1761667216,195257.01,7.855310E+06,196382.60,17400.00,7.000000E+05,17499.99
1761667226,162727.01,9.482580E+06,189651.49,14500.00,8.450000E+05,16899.99
1761667236,142520.99,1.090779E+07,181796.41,12700.00,9.720000E+05,16199.99
1761667246,178443.00,1.269222E+07,181317.35,15900.00,1.131000E+06,16157.14
1761667256,193009.01,1.462231E+07,182778.81,17200.00,1.303000E+06,16287.49
1761667266,188542.98,1.650774E+07,183419.27,16800.00,1.471000E+06,16344.44
1761667276,193020.02,1.843794E+07,184379.34,17200.00,1.643000E+06,16430.00
1761667286,184037.00,2.027831E+07,184348.22,16400.00,1.807000E+06,16427.27
1761667296,158245.00,2.186076E+07,182172.95,14100.00,1.948000E+06,16233.33
1761667306,167223.95,2.353300E+07,181023.03,14900.00,2.097000E+06,16130.77
1761667316,161600.03,2.514900E+07,179635.67,14400.00,2.241000E+06,16007.14
1761667326,155973.99,2.670874E+07,178058.23,13900.00,2.380000E+06,15866.66
