Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761670314,197488.18,1.974940E+06,197488.18,17599.48,1.760000E+05,17599.48
1761670324,205388.01,4.028820E+06,201438.04,18300.00,3.590000E+05,17949.74
1761670334,213217.99,6.161000E+06,205364.65,19000.00,5.490000E+05,18299.82
1761670344,176173.91,7.922740E+06,198067.02,15699.99,7.060000E+05,17649.87
1761670354,173939.02,9.662130E+06,193241.45,15500.00,8.610000E+05,17219.90
1761670364,188544.07,1.154757E+07,192458.55,16800.01,1.029000E+06,17149.92
1761670374,203117.00,1.357874E+07,193981.18,18100.00,1.210000E+06,17285.64
1761670384,200883.00,1.558757E+07,194843.91,17900.00,1.389000E+06,17362.44
1761670394,199759.94,1.758517E+07,195390.13,17799.99,1.567000E+06,17411.05
1761670404,203122.07,1.961639E+07,196163.32,18100.01,1.748000E+06,17479.95
1761670414,177300.99,2.138940E+07,194448.57,15800.00,1.906000E+06,17327.23
1761670424,180673.00,2.319613E+07,193300.61,16100.00,2.067000E+06,17224.96
1761670434,172827.00,2.492440E+07,191725.72,15400.00,2.221000E+06,17084.58
1761670444,176195.99,2.668636E+07,190616.46,15700.00,2.378000E+06,16985.68
1761670454,186277.00,2.854913E+07,190327.16,16600.00,2.544000E+06,16959.97
1761670464,204260.00,3.059173E+07,191197.96,18200.00,2.726000E+06,17037.47
1761670474,191885.02,3.251058E+07,191238.37,17100.00,2.897000E+06,17041.15
1761670484,182920.98,3.433979E+07,190776.30,16300.00,3.060000E+06,16999.97
1761670494,178434.02,3.612413E+07,190126.71,15900.00,3.219000E+06,16942.08
1761670504,178443.96,3.790857E+07,189542.57,15900.00,3.378000E+06,16889.97
1761670514,191900.03,3.982757E+07,189654.83,17100.00,3.549000E+06,16899.98
1761670524,204237.01,4.186994E+07,190317.65,18200.00,3.731000E+06,16959.07
1761670534,195288.01,4.382282E+07,190533.76,17400.00,3.905000E+06,16978.24
1761670544,185156.93,4.567439E+07,190309.72,16499.99,4.070000E+06,16958.31
1761670554,179540.07,4.746979E+07,189878.94,16000.01,4.230000E+06,16919.98
1761670564,180679.00,4.927658E+07,189525.09,16100.00,4.391000E+06,16888.44
1761670574,204238.99,5.131897E+07,190070.05,18200.00,4.573000E+06,16937.02
1761670584,205377.02,5.337274E+07,190616.73,18300.00,4.756000E+06,16985.70
1761670594,189664.99,5.526939E+07,190583.91,16900.00,4.925000E+06,16982.74
1761670604,187391.99,5.714331E+07,190477.51,16700.00,5.092000E+06,16973.32
1761670614,178445.98,5.892777E+07,190089.40,15900.00,5.251000E+06,16938.69
1761670624,173935.95,6.066713E+07,189584.60,15500.00,5.406000E+06,16893.73
1761670634,189661.07,6.256374E+07,189586.92,16900.01,5.575000E+06,16893.92
1761670644,212103.02,6.468477E+07,190249.16,18900.00,5.764000E+06,16952.93
1761670654,190779.00,6.659256E+07,190264.30,17000.00,5.934000E+06,16954.27
1761670664,179564.98,6.838821E+07,189967.09,16000.00,6.094000E+06,16927.76
1761670674,179537.01,7.018358E+07,189685.20,16000.00,6.254000E+06,16902.69
1761670684,184063.00,7.202421E+07,189537.25,16400.00,6.418000E+06,16889.46
1761670694,206471.00,7.408892E+07,189971.45,18400.00,6.602000E+06,16928.19
1761670704,208747.01,7.617639E+07,190440.83,18600.00,6.788000E+06,16969.99
1761670714,196374.00,7.814013E+07,190585.55,17500.00,6.963000E+06,16982.91
