Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761679375,198607.31,1.986130E+06,198607.31,17699.49,1.770000E+05,17699.49
1761679385,181800.01,3.804130E+06,190203.78,16200.00,3.390000E+05,16949.76
1761679395,191900.01,5.723130E+06,190769.18,17100.00,5.100000E+05,16999.84
1761679405,185186.99,7.575000E+06,189373.65,16500.00,6.750000E+05,16874.88
1761679415,206474.00,9.639740E+06,192793.70,18400.00,8.590000E+05,17179.90
1761679425,198647.00,1.162621E+07,193769.24,17700.00,1.036000E+06,17266.58
1761679435,203094.00,1.365715E+07,195101.34,18100.00,1.217000E+06,17385.64
1761679445,204258.91,1.569974E+07,196246.04,18199.99,1.399000E+06,17487.44
1761679455,205357.08,1.775331E+07,197258.37,18300.01,1.582000E+06,17577.72
1761679465,168343.01,1.943674E+07,194366.84,15000.00,1.732000E+06,17319.95
1761679475,167226.00,2.110900E+07,191899.50,14900.00,1.881000E+06,17099.96
1761679485,172821.01,2.283721E+07,190309.63,15400.00,2.035000E+06,16958.29
1761679495,169436.99,2.453158E+07,188704.05,15100.00,2.186000E+06,16815.35
1761679505,193042.00,2.646200E+07,189013.90,17200.00,2.358000E+06,16842.82
1761679515,209831.02,2.856031E+07,190401.70,18700.00,2.545000E+06,16966.63
1761679525,175089.99,3.031121E+07,189444.72,15600.00,2.701000E+06,16881.22
1761679535,181800.01,3.212921E+07,188995.04,16200.00,2.863000E+06,16841.15
1761679545,189651.98,3.402573E+07,189031.53,16900.00,3.032000E+06,16844.42
1761679555,180657.92,3.583231E+07,188590.82,16099.99,3.193000E+06,16805.24
1761679565,206508.11,3.789739E+07,189486.68,18400.01,3.377000E+06,16884.98
1761679575,209860.98,3.999600E+07,190456.88,18700.00,3.564000E+06,16971.41
1761679585,179531.01,4.179131E+07,189960.25,16000.00,3.724000E+06,16927.25
1761679595,180690.00,4.359821E+07,189557.20,16100.00,3.885000E+06,16891.28
1761679605,176200.00,4.536021E+07,189000.65,15700.00,4.042000E+06,16841.65
1761679615,178410.01,4.714431E+07,188577.02,15900.00,4.201000E+06,16803.98
1761679625,190781.99,4.905213E+07,188661.83,17000.00,4.371000E+06,16811.52
1761679635,212100.00,5.117313E+07,189529.91,18900.00,4.560000E+06,16888.87
1761679645,177301.99,5.294615E+07,189093.20,15800.00,4.718000E+06,16849.98
1761679655,190803.01,5.485418E+07,189152.16,17000.00,4.888000E+06,16855.16
1761679665,184038.77,5.669457E+07,188981.71,16399.98,5.052000E+06,16839.98
1761679675,199764.26,5.869221E+07,189329.54,17800.02,5.230000E+06,16870.95
1761679685,208710.00,6.077931E+07,189935.17,18600.00,5.416000E+06,16924.98
1761679695,204268.89,6.282200E+07,190369.53,18199.99,5.598000E+06,16963.62
1761679705,184039.09,6.466239E+07,190183.34,16400.01,5.762000E+06,16947.04
1761679715,188519.00,6.654758E+07,190135.79,16800.00,5.930000E+06,16942.84
1761679725,181800.00,6.836558E+07,189904.24,16200.00,6.092000E+06,16922.21
1761679735,181800.01,7.018358E+07,189685.20,16200.00,6.254000E+06,16902.69
1761679745,182936.00,7.201294E+07,189507.59,16300.00,6.417000E+06,16886.83
1761679755,203126.98,7.404421E+07,189856.81,18100.00,6.598000E+06,16917.94
1761679765,181799.93,7.586221E+07,189655.39,16199.99,6.760000E+06,16899.99
1761679775,193018.08,7.779239E+07,189737.40,17200.01,6.932000E+06,16907.31
1761679785,214334.99,7.993574E+07,190323.06,19100.00,7.123000E+06,16959.51
1761679795,206484.02,8.200058E+07,190698.90,18400.00,7.307000E+06,16993.01
1761679805,213241.99,8.413300E+07,191211.24,19000.00,7.497000E+06,17038.63
1761679815,214339.00,8.627639E+07,191725.19,19100.00,7.688000E+06,17084.43
1761679825,179561.00,8.807200E+07,191460.75,16000.00,7.848000E+06,17060.86
1761679835,184039.00,8.991239E+07,191302.84,16400.00,8.012000E+06,17046.80
1761679845,175055.00,9.166294E+07,190964.34,15600.00,8.168000E+06,17016.66
1761679855,188545.01,9.354839E+07,190914.97,16800.00,8.336000E+06,17012.23
1761679865,173936.99,9.528776E+07,190575.41,15500.00,8.491000E+06,16981.99
1761679875,175055.01,9.703831E+07,190271.09,15600.00,8.647000E+06,16954.89
1761679885,176207.99,9.880039E+07,190000.65,15700.00,8.804000E+06,16930.76
1761679895,212100.01,1.009214E+08,190417.61,18900.00,8.993000E+06,16967.92
1761679905,214335.00,1.030647E+08,190860.53,19100.00,9.184000E+06,17007.40
1761679915,216584.01,1.052306E+08,191328.23,19300.00,9.377000E+06,17049.08
1761679925,207616.00,1.073067E+08,191619.08,18500.00,9.562000E+06,17074.99
1761679935,205356.98,1.093603E+08,191860.10,18300.00,9.745000E+06,17096.48
1761679945,184069.01,1.112010E+08,191725.77,16400.00,9.909000E+06,17084.47
1761679955,177293.99,1.129739E+08,191481.16,15800.00,1.006700E+07,17062.70
1761679965,170580.01,1.146797E+08,191132.81,15200.00,1.021900E+07,17031.66
