Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761687372,298483.23,2.984940E+06,298483.23,26599.04,2.660000E+05,26599.04
1761687382,309745.02,6.082390E+06,304114.02,27600.00,5.420000E+05,27099.51
1761687392,314217.85,9.224570E+06,307481.93,27999.99,8.220000E+05,27399.67
1761687402,276056.01,1.198513E+07,299625.52,24600.00,1.068000E+06,26699.76
1761687412,264845.08,1.463358E+07,292669.48,23600.01,1.304000E+06,26079.81
1761687422,255881.02,1.719239E+07,286538.11,22800.00,1.532000E+06,25533.18
1761687432,305234.98,2.024474E+07,289209.08,27200.00,1.804000E+06,25771.30
1761687442,309747.03,2.334221E+07,291776.31,27600.00,2.080000E+06,25999.88
1761687452,315336.00,2.649557E+07,294394.04,28100.00,2.361000E+06,26233.23
1761687462,308601.00,2.958158E+07,295814.73,27500.00,2.636000E+06,26359.90
1761687472,310855.01,3.269013E+07,297182.03,27700.00,2.913000E+06,26481.73
1761687482,264845.00,3.533858E+07,294487.28,23600.00,3.149000E+06,26241.59
1761687492,268216.00,3.802074E+07,292466.42,23900.00,3.388000E+06,26061.47
1761687502,262600.00,4.064674E+07,290333.11,23400.00,3.622000E+06,25871.36
1761687512,269343.85,4.334018E+07,288933.83,23999.99,3.862000E+06,25746.60
1761687522,308594.99,4.642613E+07,290162.65,27500.00,4.137000E+06,25856.19
1761687532,315345.01,4.957958E+07,291643.96,28100.00,4.418000E+06,25988.18
1761687542,276081.16,5.234039E+07,290779.36,24600.01,4.664000E+06,25911.06
1761687552,271582.01,5.505621E+07,289768.98,24200.00,4.906000E+06,25821.00
1761687562,274935.99,5.780557E+07,289027.33,24500.00,5.151000E+06,25754.95
1761687572,304120.01,6.084677E+07,289746.03,27100.00,5.422000E+06,25819.00
1761687582,315334.78,6.400012E+07,290909.15,28099.98,5.703000E+06,25922.68
1761687592,323201.06,6.723213E+07,292313.14,28800.01,5.991000E+06,26047.78
1761687602,276087.06,6.999300E+07,291637.06,24600.01,6.237000E+06,25987.46
1761687612,277174.05,7.276474E+07,291058.54,24700.00,6.484000E+06,25935.96
1761687622,269347.02,7.545821E+07,290223.48,24000.00,6.724000E+06,25861.50
1761687632,282776.01,7.828597E+07,289947.65,25200.00,6.976000E+06,25837.00
1761687642,313123.99,8.141721E+07,290775.38,27900.00,7.255000E+06,25910.68
1761687652,306355.86,8.448077E+07,291312.63,27299.99,7.528000E+06,25958.59
1761687662,285036.15,8.733113E+07,291103.42,25400.01,7.782000E+06,25939.97
1761687672,287307.99,9.020421E+07,290980.98,25600.00,8.038000E+06,25929.00
1761687682,271579.00,9.292000E+07,290374.67,24200.00,8.280000E+06,25874.97
1761687692,303000.00,9.595000E+07,290757.26,27000.00,8.550000E+06,25909.06
1761687702,318695.86,9.913696E+07,291578.98,28399.99,8.834000E+06,25982.33
1761687712,314217.14,1.022791E+08,292225.79,28000.01,9.114000E+06,26039.97
1761687722,271580.98,1.049949E+08,291652.32,24200.00,9.356000E+06,25988.86
1761687732,271580.96,1.077108E+08,291109.85,24200.00,9.598000E+06,25940.52
1761687742,267083.06,1.103816E+08,290477.57,23800.01,9.836000E+06,25884.19
1761687752,281673.00,1.131983E+08,290251.81,25100.00,1.008700E+07,25864.08
1761687762,304126.98,1.162396E+08,290598.69,27100.00,1.035800E+07,25894.98
1761687772,300755.03,1.192471E+08,290846.40,26800.00,1.062600E+07,25917.05
1761687782,268225.87,1.219294E+08,290307.82,23899.99,1.086500E+07,25869.03
1761687792,280561.13,1.247350E+08,290081.15,25000.01,1.111500E+07,25848.82
1761687802,281657.98,1.275516E+08,289889.72,25100.00,1.136600E+07,25831.80
1761687812,269336.01,1.302449E+08,289432.97,24000.00,1.160600E+07,25791.09
1761687822,299645.01,1.332414E+08,289654.97,26700.00,1.187300E+07,25810.85
1761687832,307474.00,1.363161E+08,290034.10,27400.00,1.214700E+07,25844.66
1761687842,271581.00,1.390319E+08,289649.66,24200.00,1.238900E+07,25810.40
1761687852,279444.99,1.418264E+08,289441.40,24900.00,1.263800E+07,25791.82
1761687862,292900.00,1.447554E+08,289510.57,26100.00,1.289900E+07,25797.98
1761687872,313099.99,1.478864E+08,289973.11,27900.00,1.317800E+07,25839.20
1761687882,317574.00,1.510621E+08,290503.89,28300.00,1.346100E+07,25886.52
1761687892,327708.02,1.543392E+08,291205.86,29200.00,1.375300E+07,25949.04
1761687902,273817.98,1.570774E+08,290883.86,24400.00,1.399700E+07,25920.35
1761687912,276055.00,1.598379E+08,290614.25,24600.00,1.424300E+07,25896.35
1761687922,280562.98,1.626436E+08,290434.76,25000.00,1.449300E+07,25880.34
1761687932,262600.01,1.652696E+08,289946.43,23400.00,1.472700E+07,25836.83
1761687942,277174.01,1.680413E+08,289726.22,24700.00,1.497400E+07,25817.23
1761687952,299643.00,1.710377E+08,289894.30,26700.00,1.524100E+07,25832.19
1761687962,263719.85,1.736749E+08,289458.06,23499.99,1.547600E+07,25793.32
1761687972,273819.16,1.764131E+08,289201.68,24400.01,1.572000E+07,25770.48
1761687982,313100.01,1.795441E+08,289587.14,27900.00,1.599900E+07,25804.82
1761687992,299643.99,1.825406E+08,289746.77,26700.00,1.626600E+07,25819.03
1761688002,309742.99,1.856380E+08,290059.21,27600.00,1.654200E+07,25846.86
1761688012,299610.99,1.886341E+08,290206.16,26700.00,1.680900E+07,25859.99
1761688022,273820.00,1.913723E+08,289957.89,24400.00,1.705300E+07,25837.86
1761688032,271582.02,1.940881E+08,289683.62,24200.00,1.729500E+07,25813.42
1761688042,272699.86,1.968151E+08,289433.86,24299.99,1.753800E+07,25791.16
1761688052,262608.14,1.994412E+08,289045.08,23400.01,1.777200E+07,25756.51
1761688062,290654.87,2.023478E+08,289068.08,25899.99,1.803100E+07,25758.56
1761688072,313097.97,2.054787E+08,289406.53,27900.00,1.831000E+07,25788.72
1761688082,269344.14,2.081722E+08,289127.88,24000.01,1.855000E+07,25763.88
1761688092,251382.01,2.106860E+08,288610.82,22400.00,1.877400E+07,25717.80
1761688102,286156.99,2.135476E+08,288577.66,25500.00,1.902900E+07,25714.85
1761688112,314217.02,2.166897E+08,288919.51,28000.00,1.930900E+07,25745.32
1761688122,318726.00,2.198770E+08,289311.71,28400.00,1.959300E+07,25780.25
1761688132,298494.00,2.228619E+08,289430.96,26600.00,1.985900E+07,25790.90
1761688142,276063.99,2.256226E+08,289259.58,24600.00,2.010500E+07,25775.63
1761688152,280555.01,2.284281E+08,289149.40,25000.00,2.035500E+07,25765.81
1761688162,285059.99,2.312787E+08,289098.28,25400.00,2.060900E+07,25761.24
1761688172,260340.01,2.338821E+08,288743.24,23200.00,2.084100E+07,25729.62
1761688182,289544.00,2.367776E+08,288753.01,25800.00,2.109900E+07,25730.48
1761688192,313099.99,2.399086E+08,289046.34,27900.00,2.137800E+07,25756.62
1761688202,272699.00,2.426356E+08,288851.73,24300.00,2.162100E+07,25739.27
1761688212,273817.86,2.453737E+08,288674.86,24399.99,2.186500E+07,25723.52
1761688222,304120.15,2.484149E+08,288854.46,27100.01,2.213600E+07,25739.52
1761688232,305237.01,2.514673E+08,289042.77,27200.00,2.240800E+07,25756.31
1761688242,307508.01,2.545424E+08,289252.60,27400.00,2.268200E+07,25774.99
1761688252,317573.84,2.577181E+08,289570.81,28299.99,2.296500E+07,25803.36
1761688262,277205.11,2.604902E+08,289433.42,24700.01,2.321200E+07,25791.10
1761688272,267076.03,2.631609E+08,289187.73,23800.00,2.345000E+07,25769.22
1761688282,272700.00,2.658879E+08,289008.52,24300.00,2.369300E+07,25753.25
1761688292,270462.99,2.685926E+08,288809.10,24100.00,2.393400E+07,25735.47
1761688302,298516.01,2.715777E+08,288912.37,26600.00,2.420000E+07,25744.67
1761688312,315348.00,2.747312E+08,289190.64,28100.00,2.448100E+07,25769.46
1761688322,269309.99,2.774243E+08,288983.55,24000.00,2.472100E+07,25751.03
1761688332,288426.01,2.803086E+08,288977.80,25700.00,2.497800E+07,25750.51
1761688342,258101.01,2.828896E+08,288662.73,23000.00,2.520800E+07,25722.44
1761688352,296280.99,2.858524E+08,288739.68,26400.00,2.547200E+07,25729.28
1761688362,324318.00,2.890956E+08,289095.47,28900.00,2.576100E+07,25760.99
1761688372,304120.00,2.921368E+08,289244.22,27100.00,2.603200E+07,25774.25
1761688382,274935.98,2.948861E+08,289103.95,24500.00,2.627700E+07,25761.76
1761688392,278326.03,2.976694E+08,288999.31,24800.00,2.652500E+07,25752.42
1761688402,278300.98,3.004524E+08,288896.44,24800.00,2.677300E+07,25743.26
1761688412,297399.01,3.034264E+08,288977.42,26500.00,2.703800E+07,25750.47
1761688422,316455.00,3.065909E+08,289236.64,28200.00,2.732000E+07,25773.58
1761688432,313099.97,3.097219E+08,289459.66,27900.00,2.759900E+07,25793.45
1761688442,269345.03,3.124154E+08,289273.41,24000.00,2.783900E+07,25776.84
1761688452,256973.99,3.149851E+08,288977.09,22900.00,2.806800E+07,25750.45
1761688462,268226.02,3.176674E+08,288788.44,23900.00,2.830700E+07,25733.63
1761688472,279418.80,3.204616E+08,288704.03,24899.98,2.855600E+07,25726.12
1761688482,307495.21,3.235365E+08,288871.81,27400.02,2.883000E+07,25741.06
1761688492,311986.00,3.266564E+08,289076.36,27800.00,2.910800E+07,25759.28
1761688502,278291.99,3.294393E+08,288981.76,24800.00,2.935600E+07,25750.87
1761688512,285069.01,3.322900E+08,288947.74,25400.00,2.961000E+07,25747.82
1761688522,310830.98,3.353983E+08,289136.38,27700.00,2.988700E+07,25764.65
1761688532,309742.88,3.384957E+08,289312.51,27599.99,3.016300E+07,25780.33
1761688542,311983.01,3.416156E+08,289504.63,27800.00,3.044100E+07,25797.45
1761688552,308601.14,3.447016E+08,289665.11,27500.01,3.071600E+07,25811.76
1761688562,263742.00,3.473390E+08,289449.08,23500.00,3.095100E+07,25792.49
1761688572,267073.99,3.500097E+08,289264.16,23800.00,3.118900E+07,25776.03
1761688582,280562.84,3.528154E+08,289192.84,24999.81,3.143900E+07,25769.66
1761688592,270463.08,3.555200E+08,289040.57,24100.19,3.168000E+07,25756.09
1761688602,289511.92,3.584151E+08,289044.37,25799.99,3.193800E+07,25756.44
1761688612,292901.10,3.613441E+08,289075.22,26100.01,3.219900E+07,25759.19
1761688622,291780.98,3.642619E+08,289096.69,26000.00,3.245900E+07,25761.10
1761688632,263718.89,3.668991E+08,288896.87,23499.99,3.269400E+07,25743.30
1761688642,258126.12,3.694804E+08,288656.47,23000.01,3.292400E+07,25721.87
1761688652,294018.01,3.724206E+08,288698.04,26200.00,3.318600E+07,25725.57
1761688662,304116.98,3.754617E+08,288816.64,27100.00,3.345700E+07,25736.15
1761688672,301883.03,3.784806E+08,288916.39,26900.00,3.372600E+07,25745.03
1761688682,280563.98,3.812862E+08,288853.11,25000.00,3.397600E+07,25739.39
1761688692,295136.00,3.842376E+08,288900.35,26300.00,3.423900E+07,25743.60
1761688702,309743.00,3.873350E+08,289055.89,27600.00,3.451500E+07,25757.46
1761688712,300730.99,3.903423E+08,289142.37,26800.00,3.478300E+07,25765.18
1761688722,318726.01,3.935296E+08,289359.90,28400.00,3.506700E+07,25784.55
1761688732,315336.00,3.966829E+08,289549.51,28100.00,3.534800E+07,25801.45
1761688742,273819.84,3.994211E+08,289435.52,24399.99,3.559200E+07,25791.30
1761688752,260361.15,4.020247E+08,289226.36,23200.01,3.582400E+07,25772.66
1761688762,280564.82,4.048304E+08,289164.49,24999.98,3.607400E+07,25767.14
1761688772,265955.17,4.074899E+08,288999.88,23700.02,3.631100E+07,25752.48
1761688782,265964.00,4.101496E+08,288837.66,23700.00,3.654800E+07,25738.02
1761688792,292899.98,4.130786E+08,288866.07,26100.00,3.680900E+07,25740.55
1761688802,263742.02,4.157160E+08,288691.59,23500.00,3.704400E+07,25724.99
1761688812,283921.00,4.185552E+08,288658.69,25300.00,3.729700E+07,25722.06
1761688822,315334.84,4.217086E+08,288841.41,28099.99,3.757800E+07,25738.35
1761688832,304118.15,4.247497E+08,288945.33,27100.01,3.784900E+07,25747.61
1761688842,322083.02,4.279706E+08,289169.23,28700.00,3.813600E+07,25767.56
1761688852,324316.98,4.312137E+08,289405.12,28900.00,3.842500E+07,25788.58
1761688862,280563.99,4.340194E+08,289346.18,25000.00,3.867500E+07,25783.33
1761688872,289520.01,4.369146E+08,289347.33,25800.00,3.893300E+07,25783.44
1761688882,313100.02,4.400456E+08,289503.60,27900.00,3.921200E+07,25797.36
1761688892,310854.77,4.431541E+08,289643.15,27699.98,3.948900E+07,25809.80
1761688902,303000.22,4.461841E+08,289729.89,27000.02,3.975900E+07,25817.53
1761688912,308625.98,4.492704E+08,289851.80,27500.00,4.003400E+07,25828.38
1761688922,283918.02,4.521096E+08,289813.76,25300.00,4.028700E+07,25824.99
1761688932,281681.83,4.549264E+08,289761.96,25099.98,4.053800E+07,25820.38
1761688942,262600.17,4.575524E+08,289590.05,23400.02,4.077200E+07,25805.06
1761688952,265953.07,4.602119E+08,289441.39,23699.83,4.100900E+07,25791.82
1761688962,300764.17,4.632196E+08,289512.16,26800.19,4.127700E+07,25798.12
1761688972,308602.00,4.663056E+08,289630.73,27500.00,4.155200E+07,25808.69
