Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761689413,287269.49,2.872740E+06,287269.49,25599.60,2.560000E+05,25599.60
1761689423,297384.01,5.846580E+06,292326.71,26500.00,5.210000E+05,26049.80
1761689433,253641.99,8.383000E+06,279431.87,22600.00,7.470000E+05,24899.87
1761689443,289513.00,1.127813E+07,281952.14,25800.00,1.005000E+06,25124.90
1761689453,326587.00,1.454400E+07,290879.09,29100.00,1.296000E+06,25919.92
1761689463,310830.99,1.765231E+07,294204.40,27700.00,1.573000E+06,26216.60
1761689473,299643.02,2.064874E+07,294981.34,26700.00,1.840000E+06,26285.66
1761689483,309747.00,2.374621E+07,296827.04,27600.00,2.116000E+06,26449.95
1761689493,264835.99,2.639457E+07,293272.49,23600.00,2.352000E+06,26133.29
1761689503,256997.99,2.896455E+07,289645.04,22900.00,2.581000E+06,25809.96
1761689513,262576.01,3.159031E+07,287184.23,23400.00,2.815000E+06,25590.87
1761689523,289542.90,3.448574E+07,287380.78,25799.99,3.073000E+06,25608.30
1761689533,314220.10,3.762794E+07,289445.34,28000.01,3.353000E+06,25792.28
1761689543,301882.99,4.064677E+07,290333.75,26900.00,3.622000E+06,25871.40
1761689553,271580.00,4.336257E+07,289083.50,24200.00,3.864000E+06,25759.97
1761689563,273817.01,4.610074E+07,288129.34,24400.00,4.108000E+06,25674.97
1761689573,294020.01,4.904094E+07,288475.85,26200.00,4.370000E+06,25705.86
1761689583,286163.97,5.190258E+07,288347.41,25500.00,4.625000E+06,25694.42
1761689593,318716.01,5.508974E+07,289945.76,28400.00,4.909000E+06,25836.82
1761689603,303003.01,5.811977E+07,290598.62,27000.00,5.179000E+06,25894.98
1761689613,272696.98,6.084674E+07,289746.16,24300.00,5.422000E+06,25819.03
1761689623,280565.02,6.365239E+07,289328.84,25000.00,5.672000E+06,25781.80
1761689633,269318.99,6.634558E+07,288458.85,24000.00,5.912000E+06,25704.33
1761689643,268215.99,6.902774E+07,287615.40,23900.00,6.151000E+06,25629.15
1761689653,313100.00,7.215874E+07,288634.78,27900.00,6.430000E+06,25719.98
1761689663,314220.00,7.530094E+07,289618.83,28000.00,6.710000E+06,25807.68
1761689673,261483.00,7.791577E+07,288576.76,23300.00,6.943000E+06,25714.80
1761689683,274936.00,8.066513E+07,288089.59,24500.00,7.188000E+06,25671.41
