Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761691436,292876.26,2.928790E+06,292876.26,26099.76,2.610000E+05,26099.76
1761691446,299639.99,5.925190E+06,296258.11,26700.00,5.280000E+05,26399.88
1761691456,313094.02,9.056130E+06,301870.06,27900.00,8.070000E+05,26899.92
1761691466,285039.00,1.190652E+07,297662.30,25400.00,1.061000E+06,26524.94
1761691476,271578.99,1.462231E+07,292445.65,24200.00,1.303000E+06,26059.95
1761691486,243527.01,1.705758E+07,284292.56,21700.00,1.520000E+06,25333.29
1761691496,244662.99,1.950421E+07,278631.20,21800.00,1.738000E+06,24828.54
1761691506,313100.01,2.263521E+07,282939.79,27900.00,2.017000E+06,25212.47
1761691516,307473.00,2.570994E+07,285665.70,27400.00,2.291000E+06,25455.53
1761691526,299644.99,2.870639E+07,287063.63,26700.00,2.558000E+06,25579.98
1761691536,303000.01,3.173639E+07,288512.39,27000.00,2.828000E+06,25709.07
1761691546,294017.98,3.467657E+07,288971.19,26200.00,3.090000E+06,25749.98
1761691556,263716.86,3.731374E+07,287028.55,23499.99,3.325000E+06,25576.90
1761691566,263720.12,3.995094E+07,285363.66,23500.01,3.560000E+06,25428.55
1761691576,267106.01,4.262200E+07,284146.49,23800.00,3.798000E+06,25319.98
1761691586,296256.03,4.558456E+07,284903.33,26400.00,4.062000E+06,25387.49
1761691596,301881.99,4.860338E+07,285902.08,26900.00,4.331000E+06,25476.46
1761691606,285035.98,5.145374E+07,285853.96,25400.00,4.585000E+06,25472.21
1761691616,278326.02,5.423700E+07,285457.75,24800.00,4.833000E+06,25436.83
1761691626,268194.01,5.691894E+07,284594.57,23900.00,5.072000E+06,25359.99
1761691636,304116.98,5.996011E+07,285524.21,27100.00,5.343000E+06,25442.85
1761691646,311983.03,6.307994E+07,286726.88,27800.00,5.621000E+06,25549.99
1761691656,316463.99,6.624458E+07,288019.80,28200.00,5.903000E+06,25665.21
1761691666,285062.99,6.909521E+07,287896.60,25400.00,6.157000E+06,25654.16
1761691676,256972.98,7.166494E+07,286659.65,22900.00,6.386000E+06,25543.99
1761691686,273818.92,7.440313E+07,286165.78,24399.99,6.630000E+06,25499.99
1761691696,274945.09,7.715258E+07,285750.20,24500.01,6.875000E+06,25462.95
1761691706,317599.01,8.032857E+07,286887.65,28300.00,7.158000E+06,25564.28
1761691716,313101.98,8.345959E+07,287791.60,27900.00,7.437000E+06,25644.82
1761691726,294015.02,8.639974E+07,287999.04,26200.00,7.699000E+06,25663.33
1761691736,271582.99,8.911557E+07,287469.49,24200.00,7.941000E+06,25616.12
1761691746,292900.01,9.204457E+07,287639.20,26100.00,8.202000E+06,25631.24
1761691756,287274.00,9.491731E+07,287628.13,25600.00,8.458000E+06,25630.30
1761691766,307508.00,9.799239E+07,288212.83,27400.00,8.732000E+06,25682.35
1761691776,311978.98,1.011122E+08,288891.87,27800.00,9.010000E+06,25742.85
1761691786,301882.01,1.041310E+08,289252.70,26900.00,9.279000E+06,25774.99
1761691796,269312.89,1.068241E+08,288713.79,23999.99,9.519000E+06,25727.02
1761691806,271581.10,1.095399E+08,288262.93,24200.01,9.761000E+06,25686.84
1761691816,314218.01,1.126821E+08,288928.44,28000.00,1.004100E+07,25746.15
1761691826,313101.01,1.158131E+08,289532.76,27900.00,1.032000E+07,25799.99
1761691836,311979.98,1.189329E+08,290080.25,27800.00,1.059800E+07,25848.77
1761691846,289546.00,1.218284E+08,290067.53,25800.00,1.085600E+07,25847.61
1761691856,274935.01,1.245777E+08,289715.61,24500.00,1.110100E+07,25816.27
1761691866,277184.00,1.273496E+08,289430.80,24700.00,1.134800E+07,25790.90
1761691876,279436.01,1.301439E+08,289208.70,24900.00,1.159700E+07,25771.11
