Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761693438,308598.89,3.086010E+06,308598.89,27499.81,2.750000E+05,27499.81
1761693448,299640.01,6.082410E+06,304119.47,26700.00,5.420000E+05,27099.91
1761693458,252498.00,8.607390E+06,286912.35,22500.00,7.670000E+05,25566.61
1761693468,278291.99,1.139031E+07,284757.26,24800.00,1.015000E+06,25374.96
1761693478,278326.00,1.417357E+07,283471.01,24800.00,1.263000E+06,25259.97
1761693488,308601.03,1.725958E+07,287659.34,27500.00,1.538000E+06,25633.30
1761693498,304141.99,2.030100E+07,290014.00,27100.00,1.809000E+06,25842.83
1761693508,302979.00,2.333079E+07,291634.63,27000.00,2.079000E+06,25987.48
1761693518,304139.01,2.637218E+07,293024.00,27100.00,2.350000E+06,26111.09
1761693528,267075.97,2.904294E+07,290429.20,23800.00,2.588000E+06,25879.98
1761693538,269345.03,3.173639E+07,288512.46,24000.00,2.828000E+06,25709.08
1761693548,263717.99,3.437357E+07,286446.25,23500.00,3.063000E+06,25524.99
1761693558,283916.99,3.721274E+07,286251.69,25300.00,3.316000E+06,25507.68
1761693568,298526.03,4.019800E+07,287128.43,26600.00,3.582000E+06,25585.70
1761693578,310830.97,4.330631E+07,288708.60,27700.00,3.859000E+06,25726.65
1761693588,288426.01,4.619057E+07,288690.94,25700.00,4.116000E+06,25724.99
1761693598,259243.01,4.878300E+07,286958.71,23100.00,4.347000E+06,25570.58
1761693608,264838.99,5.143139E+07,285729.84,23600.00,4.583000E+06,25461.10
1761693618,272700.00,5.415839E+07,285044.06,24300.00,4.826000E+06,25399.99
1761693628,308591.99,5.724431E+07,286221.45,27500.00,5.101000E+06,25504.99
1761693638,319843.01,6.044274E+07,287822.48,28500.00,5.386000E+06,25647.61
1761693648,295139.01,6.339413E+07,288155.05,26300.00,5.649000E+06,25677.26
1761693658,264859.99,6.604273E+07,287142.22,23600.00,5.885000E+06,25586.95
1761693668,262584.99,6.866858E+07,286119.00,23400.00,6.119000E+06,25495.83
1761693678,259236.01,7.126094E+07,285043.68,23100.00,6.350000E+06,25399.99
1761693688,310863.02,7.436957E+07,286036.73,27700.00,6.627000E+06,25488.45
1761693698,306354.99,7.743312E+07,286789.26,27300.00,6.900000E+06,25555.55
1761693708,291781.99,8.035094E+07,286967.57,26000.00,7.160000E+06,25571.42
1761693718,262600.01,8.297694E+07,286127.31,23400.00,7.394000E+06,25496.55
1761693728,269345.00,8.567039E+07,285567.90,24000.00,7.634000E+06,25446.66
1761693738,269318.97,8.836358E+07,285043.74,24000.00,7.874000E+06,25399.99
1761693748,301873.04,9.138231E+07,285569.66,26900.00,8.143000E+06,25446.87
1761693758,315369.00,9.453600E+07,286472.67,28100.00,8.424000E+06,25527.27
1761693768,294020.88,9.747621E+07,286694.67,26199.99,8.686000E+06,25547.05
1761693778,247992.10,9.995613E+07,285588.89,22100.01,8.907000E+06,25448.57
1761693788,270461.01,1.026607E+08,285168.67,24100.00,9.148000E+06,25411.11
1761693798,269346.99,1.053542E+08,284741.06,24000.00,9.388000E+06,25372.97
1761693808,279418.99,1.081484E+08,284601.00,24900.00,9.637000E+06,25360.52
1761693818,298516.99,1.111336E+08,284957.82,26600.00,9.903000E+06,25392.30
