Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761695481,291756.24,2.917580E+06,291756.24,25999.84,2.600000E+05,25999.84
1761695491,291781.99,5.835400E+06,291769.12,26000.00,5.200000E+05,25999.92
1761695501,276081.01,8.596210E+06,286539.76,24600.00,7.660000E+05,25533.28
1761695511,268192.02,1.127813E+07,281952.83,23900.00,1.005000E+06,25124.96
1761695521,261480.97,1.389294E+07,277858.46,23300.00,1.238000E+06,24759.97
1761695531,300763.01,1.690057E+07,281675.88,26800.00,1.506000E+06,25099.97
1761695541,306355.99,1.996413E+07,285201.61,27300.00,1.779000E+06,25414.26
1761695551,314217.98,2.310631E+07,288828.65,28000.00,2.059000E+06,25737.48
1761695561,305269.03,2.615900E+07,290655.36,27200.00,2.331000E+06,25899.98
1761695571,303000.00,2.918900E+07,291889.82,27000.00,2.601000E+06,26009.98
1761695581,273821.01,3.192721E+07,290247.20,24400.00,2.845000E+06,25863.62
1761695591,263718.00,3.456439E+07,288036.44,23500.00,3.080000E+06,25666.65
1761695601,271581.99,3.728021E+07,286770.71,24200.00,3.322000E+06,25553.83
1761695611,285036.00,4.013057E+07,286646.80,25400.00,3.576000E+06,25542.85
1761695621,311982.01,4.325039E+07,288335.82,27800.00,3.854000E+06,25693.32
1761695631,303000.00,4.628039E+07,289252.33,27000.00,4.124000E+06,25774.99
1761695641,271578.99,4.899618E+07,288212.72,24200.00,4.366000E+06,25682.34
1761695651,274939.01,5.174557E+07,287475.29,24500.00,4.611000E+06,25616.66
1761695661,270464.01,5.445021E+07,286579.96,24100.00,4.852000E+06,25536.83
1761695671,283917.99,5.728939E+07,286446.86,25300.00,5.105000E+06,25524.99
1761695681,305234.99,6.034174E+07,287341.54,27200.00,5.377000E+06,25604.75
