Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761701614,290622.62,2.906310E+06,290622.62,25899.25,2.590000E+05,25899.25
1761701624,311982.01,6.026130E+06,301302.16,27800.00,5.370000E+05,26849.61
1761701634,276086.99,8.787000E+06,292897.18,24600.00,7.830000E+05,26099.75
1761701644,253620.95,1.132321E+07,283078.19,22600.00,1.009000E+06,25224.82
1761701654,272700.05,1.405021E+07,281002.58,24300.00,1.252000E+06,25039.86
1761701664,300737.01,1.705758E+07,284291.63,26800.00,1.520000E+06,25333.21
1761701674,294041.97,1.999800E+07,285684.53,26200.00,1.782000E+06,25457.04
1761701684,304121.02,2.303921E+07,287989.09,27100.00,2.053000E+06,25662.41
1761701694,300736.99,2.604658E+07,289405.52,26800.00,2.321000E+06,25788.81
1761701704,296281.01,2.900939E+07,290093.06,26400.00,2.585000E+06,25849.93
1761701714,263717.98,3.164657E+07,287695.33,23500.00,2.820000E+06,25636.30
1761701724,262600.02,3.427257E+07,285604.06,23400.00,3.054000E+06,25449.94
1761701734,260361.00,3.687618E+07,283662.29,23200.00,3.286000E+06,25276.87
1761701744,276055.87,3.963674E+07,283118.98,24599.99,3.532000E+06,25228.52
1761701754,311983.14,4.275657E+07,285043.25,27800.01,3.810000E+06,25399.95
1761701764,300763.99,4.576421E+07,286025.80,26800.00,4.078000E+06,25487.45
1761701774,261479.00,4.837900E+07,284581.87,23300.00,4.311000E+06,25358.78
1761701784,285038.90,5.122939E+07,284607.26,25399.99,4.565000E+06,25361.07
1761701794,263718.09,5.386657E+07,283507.83,23500.01,4.800000E+06,25263.12
1761701804,292900.00,5.679557E+07,283977.44,26100.00,5.061000E+06,25304.96
1761701814,311981.99,5.991539E+07,285310.99,27800.00,5.339000E+06,25423.77
1761701824,299619.00,6.291158E+07,285961.35,26700.00,5.606000E+06,25481.78
1761701834,265981.00,6.557139E+07,285092.64,23700.00,5.843000E+06,25404.32
1761701844,282800.01,6.839939E+07,284997.12,25200.00,6.095000E+06,25395.80
1761701854,268192.00,7.108131E+07,284324.91,23900.00,6.334000E+06,25335.97
1761701864,279443.00,7.387574E+07,284137.15,24900.00,6.583000E+06,25319.20
1761701874,308626.01,7.696200E+07,285044.14,27500.00,6.858000E+06,25399.97
1761701884,296256.99,7.992457E+07,285444.60,26400.00,7.122000E+06,25435.69
1761701894,269342.98,8.261800E+07,284889.37,24000.00,7.362000E+06,25386.18
1761701904,261458.02,8.523258E+07,284108.33,23300.00,7.595000E+06,25316.64
1761701914,270454.99,8.793713E+07,283667.90,24100.00,7.836000E+06,25277.40
1761701924,273818.02,9.067531E+07,283360.09,24400.00,8.080000E+06,25249.98
1761701934,295168.99,9.362700E+07,283717.93,26300.00,8.343000E+06,25281.80
1761701944,298494.00,9.661194E+07,284152.52,26600.00,8.609000E+06,25320.57
1761701954,274937.02,9.936131E+07,283889.22,24500.00,8.854000E+06,25297.12
1761701964,267107.99,1.020324E+08,283423.08,23800.00,9.092000E+06,25255.54
1761701974,263717.99,1.046696E+08,282890.51,23500.00,9.327000E+06,25208.09
1761701984,314219.02,1.078118E+08,283714.94,28000.00,9.607000E+06,25281.56
1761701994,304117.98,1.108529E+08,284238.10,27100.00,9.878000E+06,25328.19
1761702004,300763.00,1.138606E+08,284651.22,26800.00,1.014600E+07,25364.98
1761702014,289542.99,1.167560E+08,284770.53,25800.00,1.040400E+07,25375.59
1761702024,262599.93,1.193820E+08,284242.66,23399.99,1.063800E+07,25328.55
1761702034,263721.10,1.220192E+08,283765.41,23500.01,1.087300E+07,25286.03
1761702044,259210.00,1.246113E+08,283207.34,23100.00,1.110400E+07,25236.35
1761702054,264868.91,1.272600E+08,282799.82,23599.99,1.134000E+07,25199.98
1761702064,292900.09,1.301890E+08,283019.39,26100.01,1.160100E+07,25219.55
1761702074,285039.00,1.330394E+08,283062.36,25400.00,1.185500E+07,25223.39
1761702084,267073.92,1.357101E+08,282729.27,23799.99,1.209300E+07,25193.73
1761702094,298526.10,1.386954E+08,283051.65,26600.01,1.235900E+07,25222.43
1761702104,301878.99,1.417142E+08,283428.20,26900.00,1.262800E+07,25255.99
1761702114,317575.99,1.448899E+08,284097.76,28300.00,1.291100E+07,25315.67
1761702124,298526.89,1.478752E+08,284375.24,26599.99,1.317700E+07,25340.37
1761702134,274936.10,1.506246E+08,284197.15,24500.01,1.342200E+07,25324.51
1761702144,274936.00,1.533739E+08,284025.64,24500.00,1.366700E+07,25309.25
1761702154,273819.01,1.561121E+08,283840.07,24400.00,1.391100E+07,25292.71
1761702164,268227.01,1.587944E+08,283561.26,23900.00,1.415000E+07,25267.84
1761702174,262600.00,1.614204E+08,283193.52,23400.00,1.438400E+07,25235.07
1761702184,263717.99,1.640576E+08,282857.74,23500.00,1.461900E+07,25205.16
1761702194,276055.90,1.668181E+08,282742.45,24599.99,1.486500E+07,25194.90
1761702204,300761.12,1.698257E+08,283042.76,26800.01,1.513300E+07,25221.65
1761702214,300764.98,1.728334E+08,283333.29,26800.00,1.540100E+07,25247.53
1761702224,301882.03,1.758522E+08,283632.46,26900.00,1.567000E+07,25274.18
1761702234,306353.00,1.789157E+08,283993.11,27300.00,1.594300E+07,25306.34
1761702244,295138.98,1.818671E+08,284167.26,26300.00,1.620600E+07,25321.86
1761702254,277208.01,1.846392E+08,284060.20,24700.00,1.645300E+07,25312.30
1761702264,260336.99,1.872426E+08,283700.75,23200.00,1.668500E+07,25280.29
1761702274,276081.00,1.900034E+08,283587.03,24600.00,1.693100E+07,25270.14
1761702284,263718.00,1.926406E+08,283294.84,23500.00,1.716600E+07,25244.11
1761702294,283917.00,1.954797E+08,283303.85,25300.00,1.741900E+07,25244.92
1761702304,295139.00,1.984311E+08,283472.93,26300.00,1.768200E+07,25259.99
1761702314,272699.99,2.011581E+08,283321.19,24300.00,1.792500E+07,25246.47
1761702324,269344.01,2.038516E+08,283127.07,24000.00,1.816500E+07,25229.16
1761702334,290664.00,2.067582E+08,283230.31,25900.00,1.842400E+07,25238.35
1761702344,304118.00,2.097994E+08,283512.58,27100.00,1.869500E+07,25263.50
1761702354,315335.00,2.129527E+08,283936.88,28100.00,1.897600E+07,25301.32
1761702364,298526.00,2.159380E+08,284128.84,26600.00,1.924200E+07,25318.41
1761702374,267074.00,2.186087E+08,283907.35,23800.00,1.948000E+07,25298.69
1761702384,276057.01,2.213693E+08,283806.70,24600.00,1.972600E+07,25289.73
1761702394,285069.00,2.242200E+08,283822.68,25400.00,1.998000E+07,25291.13
1761702404,265957.00,2.268796E+08,283599.36,23700.00,2.021700E+07,25271.24
1761702414,268200.99,2.295616E+08,283409.26,23900.00,2.045600E+07,25254.31
1761702424,296281.00,2.325244E+08,283566.23,26400.00,2.072000E+07,25268.28
1761702434,271582.01,2.352402E+08,283421.84,24200.00,2.096200E+07,25255.41
1761702444,259234.00,2.378326E+08,283133.89,23100.00,2.119300E+07,25229.75
1761702454,294003.01,2.407726E+08,283261.76,26200.00,2.145500E+07,25241.17
1761702464,319835.99,2.439709E+08,283687.04,28500.00,2.174000E+07,25279.06
1761702474,305237.01,2.470233E+08,283934.75,27200.00,2.201200E+07,25301.14
1761702484,304141.95,2.500647E+08,284164.37,27100.00,2.228300E+07,25321.58
1761702494,279421.03,2.528589E+08,284111.08,24900.00,2.253200E+07,25316.85
1761702504,273819.00,2.555971E+08,283996.72,24400.00,2.277600E+07,25306.66
1761702514,268226.01,2.582794E+08,283823.42,23900.00,2.301500E+07,25291.20
1761702524,278291.99,2.610623E+08,283763.29,24800.00,2.326300E+07,25285.86
1761702534,292899.99,2.639913E+08,283861.54,26100.00,2.352400E+07,25294.62
1761702544,302999.86,2.670213E+08,284065.13,26999.99,2.379400E+07,25312.76
1761702554,289543.14,2.699167E+08,284122.80,25800.01,2.405200E+07,25317.89
1761702564,269346.99,2.726102E+08,283968.88,24000.00,2.429200E+07,25304.16
1761702574,251379.01,2.751240E+08,283632.91,22400.00,2.451600E+07,25274.22
1761702584,309713.01,2.782211E+08,283899.03,27600.00,2.479200E+07,25297.95
1761702594,305244.98,2.812736E+08,284114.64,27200.00,2.506400E+07,25317.16
1761702604,304142.01,2.843150E+08,284314.92,27100.00,2.533500E+07,25334.99
1761702614,274938.99,2.870644E+08,284222.09,24500.00,2.558000E+07,25326.73
1761702624,278292.01,2.898473E+08,284163.95,24800.00,2.582800E+07,25321.56
1761702634,260362.99,2.924509E+08,283932.87,23200.00,2.606000E+07,25300.96
1761702644,264836.99,2.950993E+08,283749.26,23600.00,2.629600E+07,25284.61
1761702654,301881.02,2.981181E+08,283921.94,26900.00,2.656500E+07,25299.99
1761702664,300762.01,3.011257E+08,284080.81,26800.00,2.683300E+07,25314.14
1761702674,272699.99,3.038527E+08,283974.45,24300.00,2.707600E+07,25304.67
1761702684,261483.01,3.064676E+08,283766.19,23300.00,2.730900E+07,25286.10
1761702694,269343.01,3.091610E+08,283633.87,24000.00,2.754900E+07,25274.31
1761702704,298493.88,3.121459E+08,283768.96,26599.99,2.781500E+07,25286.36
1761702714,308624.11,3.152322E+08,283992.88,27500.01,2.809000E+07,25306.30
1761702724,304121.00,3.182734E+08,284172.60,27100.00,2.836100E+07,25322.31
1761702734,278292.00,3.210563E+08,284120.56,24800.00,2.860900E+07,25317.69
1761702744,281682.00,3.238731E+08,284099.16,25100.00,2.886000E+07,25315.78
1761702754,269344.00,3.265666E+08,283970.86,24000.00,2.910000E+07,25304.34
1761702764,309743.00,3.296640E+08,284193.03,27600.00,2.937600E+07,25324.13
1761702774,303000.00,3.326940E+08,284353.78,27000.00,2.964600E+07,25338.46
1761702784,295139.01,3.356454E+08,284445.18,26300.00,2.990900E+07,25346.60
1761702794,276054.95,3.384059E+08,284374.67,24600.00,3.015500E+07,25340.33
1761702804,279445.05,3.412004E+08,284333.59,24900.00,3.040400E+07,25336.66
1761702814,254735.00,3.437477E+08,284088.97,22700.00,3.063100E+07,25314.87
1761702824,278326.00,3.465310E+08,284041.74,24800.00,3.087900E+07,25310.65
1761702834,292879.00,3.494598E+08,284113.58,26100.00,3.114000E+07,25317.07
1761702844,298515.00,3.524449E+08,284229.72,26600.00,3.140600E+07,25327.41
1761702854,276064.00,3.552056E+08,284164.40,24600.00,3.165200E+07,25321.59
1761702864,286181.00,3.580674E+08,284180.40,25500.00,3.190700E+07,25323.01
1761702874,308591.99,3.611533E+08,284372.62,27500.00,3.218200E+07,25340.15
1761702884,305269.00,3.642060E+08,284535.87,27200.00,3.245400E+07,25354.68
1761702894,320931.00,3.674153E+08,284818.01,28600.00,3.274000E+07,25379.84
1761702904,304127.01,3.704566E+08,284966.54,27100.00,3.301100E+07,25393.07
1761702914,273842.00,3.731950E+08,284881.62,24400.00,3.325500E+07,25385.49
1761702924,272700.00,3.759220E+08,284789.33,24300.00,3.349800E+07,25377.27
1761702934,254739.00,3.784694E+08,284563.39,22700.00,3.372500E+07,25357.14
